Dataset,Category,Method,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Improvement vs Best Single Agent Accuracy,Improvement vs Best Single Agent F1,Improvement vs Best Single Agent Recall,FNR Reduction vs Best Single Agent,Notes
CICIDS2017,Single Agent,General Traffic Agent,0.91908,0.8142052836725855,0.7634517766497462,0.788012155506654,0.042739726027397264,0.2365482233502538,0.9572602739726027,0.8603560253111744,-0.05249999999999999,-0.14414349023218576,-0.2276142131979696,-0.22761421319796954,Single-agent metric row
CICIDS2017,Single Agent,Attack Recall Agent,0.86682,0.6201159376646842,0.836243654822335,0.7121428262655082,0.12567870485678706,0.16375634517766496,0.874321295143213,0.855282474982774,-0.10475999999999996,-0.22001281947333162,-0.1548223350253808,-0.1548223350253807,Single-agent metric row
CICIDS2017,Single Agent,Normal Behavior Agent,0.90848,0.8790971822886716,0.6208121827411167,0.7277162918005474,0.020946450809464508,0.37918781725888323,0.9790535491905354,0.799932865965826,-0.06310000000000004,-0.20443935393829238,-0.37025380710659905,-0.37025380710659894,Single-agent metric row
CICIDS2017,Single Agent,Hard-Case Agent,0.97158,0.8798557908968003,0.9910659898477158,0.9321556457388398,0.03320049813200498,0.008934010152284264,0.966799501867995,0.9789327458578554,0.0,0.0,0.0,0.0,Best single agent baseline
CICIDS2017,Trust Method,Majority Voting,0.94814,0.967650470421446,0.7622335025380711,0.8527457550116417,0.0062515566625155,0.2377664974619289,0.9937484433374844,0.8779909729377777,-0.023440000000000016,-0.07940989072719806,-0.22883248730964467,-0.22883248730964464,Trust aggregation method
CICIDS2017,Trust Method,Global Trust Voting,0.96378,0.931230554661517,0.8812182741116751,0.9055344009180532,0.0159651307596513,0.1187817258883248,0.9840348692403488,0.9326265716760118,-0.007800000000000029,-0.02662124482078665,-0.10984771573604069,-0.10984771573604053,Trust aggregation method
CICIDS2017,Trust Method,Attack Recall Trust,0.96378,0.931230554661517,0.8812182741116751,0.9055344009180532,0.0159651307596513,0.1187817258883248,0.9840348692403488,0.9326265716760118,-0.007800000000000029,-0.02662124482078665,-0.10984771573604069,-0.10984771573604053,Trust aggregation method
CICIDS2017,Trust Method,Role-Aware Trust Voting,0.96378,0.931230554661517,0.8812182741116751,0.9055344009180532,0.0159651307596513,0.1187817258883248,0.9840348692403488,0.9326265716760118,-0.007800000000000029,-0.02662124482078665,-0.10984771573604069,-0.10984771573604053,Trust aggregation method
CICIDS2017,Trust Method,Disagreement-aware Selector,0.97158,0.8798557908968003,0.9910659898477158,0.9321556457388398,0.03320049813200498,0.008934010152284264,0.966799501867995,0.9789327458578554,0.0,0.0,0.0,0.0,Selector ablation metric row
CICIDS2017,Trust Method,Hard-Case Guarded Selector,0.95058,0.8037375483658517,0.9911675126903553,0.8876664999772697,0.05937733499377335,0.00883248730964467,0.9406226650062266,0.9658950888482909,-0.02100000000000002,-0.04448914576157015,0.00010152284263953426,0.00010152284263959498,Selector ablation metric row
CICIDS2017,Trust Method,Trust Agent Selector,0.98748,0.956995640110979,0.980507614213198,0.968608966001404,0.0108094645080946,0.019492385786802,0.9891905354919054,0.9848490748525516,0.015900000000000025,0.036453320262564204,-0.01055837563451778,-0.010558375634517735,Trust aggregation method
CICIDS2017,Trust Method,Best 4-Agent Trust Method,0.98748,0.956995640110979,0.980507614213198,0.968608966001404,0.0108094645080946,0.019492385786802,0.9891905354919054,0.9848490748525516,0.015900000000000025,0.036453320262564204,-0.01055837563451778,-0.010558375634517735,Best trust row from four_agent_trust_results
CICIDS2017,Trust Method,Accuracy-prioritized selector,0.97854,0.9256134225584328,0.9689340101522844,0.946778433609444,0.0191033623910336,0.0310659898477157,0.9808966376089664,0.9749153238806254,0.006959999999999966,0.014622787870604226,-0.022131979695431347,-0.022131979695431434,Trust aggregation method
CICIDS2017,Trust Method,F1-prioritized selector,0.97856,0.9253731343283582,0.9693401015228428,0.9468464894882984,0.0191780821917808,0.0306598984771573,0.9808219178082191,0.9750810096655308,0.006979999999999986,0.014690843749458615,-0.02172588832487299,-0.021725888324873037,Trust aggregation method
CICIDS2017,Trust Method,Recall-safe selector,0.9714,0.8818247777979321,0.9871065989847716,0.9315002874113816,0.032453300124533,0.0128934010152284,0.967546699875467,0.9773266494301194,-0.00017999999999995797,-0.000655358327458222,-0.003959390862944168,-0.003959390862944136,Trust aggregation method
CICIDS2017,Trust Method,FNR-penalty selector,0.9735,0.896696137738483,0.9781725888324873,0.935663996115562,0.0276463262764632,0.0218274111675126,0.9723536737235368,0.975263131278012,0.0019200000000000328,0.003508350376722147,-0.012893401015228512,-0.012893401015228335,Trust aggregation method
CICIDS2017,Trust Method,Disagreement-aware selector,0.97806,0.9124493450193196,0.9829441624365484,0.9463858071453009,0.0231382316313823,0.0170558375634517,0.9768617683686176,0.979902965402583,0.006480000000000041,0.01423016140646105,-0.008121827411167404,-0.008121827411167435,Trust aggregation method
CICIDS2017,Trust Method,Best tuned CICIDS2017 selector,0.9714,0.8818247777979321,0.9871065989847716,0.9315002874113816,0.032453300124533,0.0128934010152284,0.967546699875467,0.9773266494301194,-0.00017999999999995797,-0.000655358327458222,-0.003959390862944168,-0.003959390862944136,Trust aggregation method
CICIDS2017,Oracle,Oracle,0.99786,,,,,,,,0.02627999999999997,,,,Theoretical upper bound among four agents
