Dataset,Category,Method,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Improvement vs Best Single Agent Accuracy,Improvement vs Best Single Agent F1,Improvement vs Best Single Agent Recall,FNR Reduction vs Best Single Agent,Notes
CICIDS2017,Single Agent,General Traffic Agent,91.91%,81.42%,76.35%,78.80%,4.27%,23.65%,95.73%,86.04%,-4.92 pts,-13.68 pts,-22.80 pts,-22.80 pts,Single-agent metric row
CICIDS2017,Single Agent,Attack Recall Agent,86.68%,62.01%,83.62%,71.21%,12.57%,16.38%,87.43%,85.53%,-10.14 pts,-21.27 pts,-15.52 pts,-15.52 pts,Single-agent metric row
CICIDS2017,Single Agent,Normal Behavior Agent,90.85%,87.91%,62.08%,72.77%,2.09%,37.92%,97.91%,79.99%,-5.98 pts,-19.71 pts,-37.07 pts,-37.07 pts,Single-agent metric row
CICIDS2017,Single Agent,Hard-Case Agent,96.82%,86.65%,99.15%,92.48%,3.75%,0.85%,96.25%,97.70%,+0.00 pts,+0.00 pts,+0.00 pts,+0.00 pts,Best single agent baseline
CICIDS2017,Trust Method,Majority Voting,94.81%,96.69%,76.24%,85.26%,0.64%,23.76%,99.36%,87.80%,-2.02 pts,-7.22 pts,-22.90 pts,-22.90 pts,Trust aggregation method
CICIDS2017,Trust Method,Global Trust Voting,96.39%,93.18%,88.12%,90.58%,1.58%,11.88%,98.42%,93.27%,-0.43 pts,-1.90 pts,-11.03 pts,-11.03 pts,Trust aggregation method
CICIDS2017,Trust Method,Attack Recall Trust,96.39%,93.18%,88.12%,90.58%,1.58%,11.88%,98.42%,93.27%,-0.43 pts,-1.90 pts,-11.03 pts,-11.03 pts,Trust aggregation method
CICIDS2017,Trust Method,Role-Aware Trust Voting,96.39%,93.18%,88.12%,90.58%,1.58%,11.88%,98.42%,93.27%,-0.43 pts,-1.90 pts,-11.03 pts,-11.03 pts,Trust aggregation method
CICIDS2017,Trust Method,Disagreement-aware Selector,96.82%,86.65%,99.15%,92.48%,3.75%,0.85%,96.25%,97.70%,+0.00 pts,+0.00 pts,+0.00 pts,+0.00 pts,Selector ablation metric row
CICIDS2017,Trust Method,Hard-Case Guarded Selector,94.72%,79.25%,99.17%,88.10%,6.37%,0.83%,93.63%,96.40%,-2.10 pts,-4.38 pts,+0.02 pts,+0.02 pts,Selector ablation metric row
CICIDS2017,Trust Method,Trust Agent Selector,98.84%,96.18%,97.98%,97.07%,0.95%,2.02%,99.05%,98.51%,+2.01 pts,+4.59 pts,-1.17 pts,-1.17 pts,Trust aggregation method
CICIDS2017,Trust Method,Best 4-Agent Trust Method,98.84%,96.18%,97.98%,97.07%,0.95%,2.02%,99.05%,98.51%,+2.01 pts,+4.59 pts,-1.17 pts,-1.17 pts,Best trust row from four_agent_trust_results
CICIDS2017,Trust Method,Accuracy-prioritized selector,97.60%,91.37%,96.99%,94.10%,2.25%,3.01%,97.75%,97.37%,+0.78 pts,+1.62 pts,-2.15 pts,-2.15 pts,Trust aggregation method
CICIDS2017,Trust Method,F1-prioritized selector,97.60%,91.34%,96.99%,94.08%,2.26%,3.01%,97.74%,97.37%,+0.77 pts,+1.60 pts,-2.15 pts,-2.15 pts,Trust aggregation method
CICIDS2017,Trust Method,Recall-safe selector,96.98%,87.70%,98.48%,92.77%,3.39%,1.52%,96.61%,97.54%,+0.15 pts,+0.29 pts,-0.67 pts,-0.67 pts,Trust aggregation method
CICIDS2017,Trust Method,FNR-penalty selector,97.38%,89.61%,98.09%,93.66%,2.79%,1.91%,97.21%,97.65%,+0.56 pts,+1.18 pts,-1.06 pts,-1.06 pts,Trust aggregation method
CICIDS2017,Trust Method,Disagreement-aware selector,97.79%,91.38%,98.04%,94.59%,2.27%,1.96%,97.73%,97.89%,+0.97 pts,+2.11 pts,-1.11 pts,-1.11 pts,Trust aggregation method
CICIDS2017,Trust Method,Best tuned CICIDS2017 selector,97.79%,91.38%,98.04%,94.59%,2.27%,1.96%,97.73%,97.89%,+0.97 pts,+2.11 pts,-1.11 pts,-1.11 pts,Trust aggregation method
CICIDS2017,Oracle,Oracle,99.80%,,,,,,,,+2.98 pts,,,,Theoretical upper bound among four agents
