sample_index,true_label,number_of_agents_correct,number_of_agents_wrong,trust_selected_agent,trust_prediction,trust_correct,General Traffic Agent_prediction,General Traffic Agent_correct,Attack Recall Agent_prediction,Attack Recall Agent_correct,Normal Behavior Agent_prediction,Normal Behavior Agent_correct,Hard-Case Agent_prediction,Hard-Case Agent_correct
0,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
1,1,1,3,Hard-Case Agent,1,True,0,False,0,False,0,False,1,True
2,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
3,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
4,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
5,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
6,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
7,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
8,0,2,2,Hard-Case Agent,0,True,1,False,1,False,0,True,0,True
9,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
10,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
11,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
12,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
13,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
14,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
15,1,1,3,Hard-Case Agent,1,True,0,False,0,False,0,False,1,True
16,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
17,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
18,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
19,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
20,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
21,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
22,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
23,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
24,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
25,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
26,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
27,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
28,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
29,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
30,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
31,0,2,2,Hard-Case Agent,0,True,1,False,1,False,0,True,0,True
32,1,0,4,Normal Behavior Agent,0,False,0,False,0,False,0,False,0,False
33,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
34,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
35,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
36,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
37,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
38,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
39,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
40,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
41,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
42,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
43,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
44,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
45,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
46,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
47,0,2,2,Hard-Case Agent,0,True,1,False,1,False,0,True,0,True
48,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
49,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
50,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
51,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
52,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
53,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
54,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
55,1,2,2,Hard-Case Agent,1,True,0,False,0,False,1,True,1,True
56,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
57,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
58,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
59,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
60,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
61,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
62,0,3,1,Hard-Case Agent,0,True,0,True,0,True,1,False,0,True
63,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
64,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
65,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
66,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
