stage,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Improvement vs Best Agent Accuracy,Improvement vs Best Agent F1,Improvement vs Best Agent Recall,FNR Reduction vs Best Agent
Hard-Case Only,0.97158,0.8798557908968003,0.9910659898477158,0.9321556457388398,0.03320049813200498,0.008934010152284264,0.966799501867995,0.9789327458578554,0.0,0.0,0.0,0.0
Majority Voting,0.94814,0.967650470421446,0.7622335025380711,0.8527457550116417,0.0062515566625155,0.2377664974619289,0.9937484433374844,0.8779909729377777,-0.02344,-0.079409890727198,-0.2288324873096446,-0.2288324873096446
Global Trust Voting,0.96378,0.931230554661517,0.8812182741116751,0.9055344009180532,0.0159651307596513,0.1187817258883248,0.9840348692403488,0.9326265716760118,-0.0078,-0.0266212448207865,-0.1098477157360406,-0.1098477157360406
Attack Recall Trust,0.96378,0.931230554661517,0.8812182741116751,0.9055344009180532,0.0159651307596513,0.1187817258883248,0.9840348692403488,0.9326265716760118,-0.0078,-0.0266212448207865,-0.1098477157360406,-0.1098477157360406
Role-Aware Trust Voting,0.96378,0.931230554661517,0.8812182741116751,0.9055344009180532,0.0159651307596513,0.1187817258883248,0.9840348692403488,0.9326265716760118,-0.0078,-0.0266212448207865,-0.1098477157360406,-0.1098477157360406
Trust Agent Selector,0.98748,0.956995640110979,0.980507614213198,0.968608966001404,0.0108094645080946,0.019492385786802,0.9891905354919054,0.9848490748525516,0.0159,0.0364533202625643,-0.0105583756345177,-0.0105583756345177
Accuracy-prioritized selector,0.97854,0.9256134225584328,0.9689340101522844,0.946778433609444,0.0191033623910336,0.0310659898477157,0.9808966376089664,0.9749153238806254,0.0069599999999999,0.0146227878706042,-0.0221319796954314,-0.0221319796954314
F1-prioritized selector,0.97856,0.9253731343283582,0.9693401015228428,0.9468464894882984,0.0191780821917808,0.0306598984771573,0.9808219178082191,0.9750810096655308,0.0069799999999999,0.0146908437494585,-0.0217258883248731,-0.021725888324873
Recall-safe selector,0.9714,0.8818247777979321,0.9871065989847716,0.9315002874113816,0.032453300124533,0.0128934010152284,0.967546699875467,0.9773266494301194,-0.0001799999999999,-0.0006553583274583,-0.0039593908629441,-0.0039593908629441
FNR-penalty selector,0.9735,0.896696137738483,0.9781725888324873,0.935663996115562,0.0276463262764632,0.0218274111675126,0.9723536737235368,0.975263131278012,0.00192,0.0035083503767222,-0.0128934010152285,-0.0128934010152284
Disagreement-aware selector,0.97806,0.9124493450193196,0.9829441624365484,0.9463858071453009,0.0231382316313823,0.0170558375634517,0.9768617683686176,0.979902965402583,0.00648,0.014230161406461,-0.0081218274111675,-0.0081218274111675
Best tuned CICIDS2017 selector,0.9714,0.8818247777979321,0.9871065989847716,0.9315002874113816,0.032453300124533,0.0128934010152284,0.967546699875467,0.9773266494301194,-0.0001799999999999,-0.0006553583274583,-0.0039593908629441,-0.0039593908629441
Best 4-Agent Trust Method,0.98748,0.956995640110979,0.980507614213198,0.968608966001404,0.0108094645080946,0.019492385786802,0.9891905354919054,0.9848490748525516,0.0159,0.0364533202625643,-0.0105583756345177,-0.0105583756345177
Disagreement-aware Selector,0.97158,0.8798557908968003,0.9910659898477158,0.9321556457388398,0.03320049813200498,0.008934010152284264,0.966799501867995,0.9789327458578554,0.0,0.0,0.0,0.0
Hard-Case Guarded Selector,0.95058,0.8037375483658517,0.9911675126903553,0.8876664999772697,0.05937733499377335,0.00883248730964467,0.9406226650062266,0.9658950888482909,-0.02100000000000002,-0.04448914576157015,0.00010152284263953426,0.00010152284263959498
