Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Majority Vote,Clean,None,0.94806,0.9669112913608858,0.7624365482233503,0.8525855707555202,0.006400996264009962,0.23756345177664975,0.7624365482233503,0.9935990037359901,0.9935990037359901,0.8780177759796701,7510,39893,257,2340,0.0,0.0,0.0,0.0
Majority Vote,Poisoned,Attack Recall Agent,0.94138,0.9685764594338345,0.725989847715736,0.8299193407996286,0.005778331257783312,0.27401015228426395,0.725989847715736,0.9942216687422167,0.9942216687422167,0.8601057582289764,7151,39918,232,2699,0.006680000000000019,0.022666229955891626,0.0364467005076142,-0.00062266500622665
Global Trust Voting,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Global Trust Voting,Poisoned,Attack Recall Agent,0.9616,0.9132791327913279,0.8895431472081218,0.9012548858259617,0.020722291407222915,0.11045685279187817,0.8895431472081218,0.9792777085927771,0.9792777085927771,0.9344104279004495,8762,39318,832,1088,0.0022999999999999687,0.004563011382491267,-0.008324873096446708,0.0049066002490660045
F1 Trust Voting,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
F1 Trust Voting,Poisoned,Attack Recall Agent,0.9616,0.9132791327913279,0.8895431472081218,0.9012548858259617,0.020722291407222915,0.11045685279187817,0.8895431472081218,0.9792777085927771,0.9792777085927771,0.9344104279004495,8762,39318,832,1088,0.0022999999999999687,0.004563011382491267,-0.008324873096446708,0.0049066002490660045
Error-Aware Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Error-Aware Trust,Poisoned,Attack Recall Agent,0.9616,0.9132791327913279,0.8895431472081218,0.9012548858259617,0.020722291407222915,0.11045685279187817,0.8895431472081218,0.9792777085927771,0.9792777085927771,0.9344104279004495,8762,39318,832,1088,0.0022999999999999687,0.004563011382491267,-0.008324873096446708,0.0049066002490660045
Attack Recall Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Attack Recall Trust,Poisoned,Attack Recall Agent,0.9616,0.9132791327913279,0.8895431472081218,0.9012548858259617,0.020722291407222915,0.11045685279187817,0.8895431472081218,0.9792777085927771,0.9792777085927771,0.9344104279004495,8762,39318,832,1088,0.0022999999999999687,0.004563011382491267,-0.008324873096446708,0.0049066002490660045
FNR Penalty Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
FNR Penalty Trust,Poisoned,Attack Recall Agent,0.9616,0.9132791327913279,0.8895431472081218,0.9012548858259617,0.020722291407222915,0.11045685279187817,0.8895431472081218,0.9792777085927771,0.9792777085927771,0.9344104279004495,8762,39318,832,1088,0.0022999999999999687,0.004563011382491267,-0.008324873096446708,0.0049066002490660045
Best Safe Model Selector,Clean,None,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.0,0.0,0.0,0.0
Best Safe Model Selector,Poisoned,Attack Recall Agent,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.0,0.0,0.0,0.0
Best Accuracy Selector,Clean,None,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.0,0.0,0.0,0.0
Best Accuracy Selector,Poisoned,Attack Recall Agent,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.0,0.0,0.0,0.0
Class-Specific Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Class-Specific Trust,Poisoned,Attack Recall Agent,0.9616,0.9132791327913279,0.8895431472081218,0.9012548858259617,0.020722291407222915,0.11045685279187817,0.8895431472081218,0.9792777085927771,0.9792777085927771,0.9344104279004495,8762,39318,832,1088,0.0022999999999999687,0.004563011382491267,-0.008324873096446708,0.0049066002490660045
Dynamic Trust,Clean,None,0.94556,0.9292941459889184,0.783248730964467,0.8500440722785368,0.014620174346201744,0.216751269035533,0.783248730964467,0.9853798256537982,0.9853798256537982,0.8843142783091327,7715,39563,587,2135,0.0,0.0,0.0,0.0
Dynamic Trust,Poisoned,Attack Recall Agent,0.95164,0.9516285853184249,0.7949238578680203,0.8662462661798872,0.00991282689912827,0.2050761421319797,0.7949238578680203,0.9900871731008717,0.9900871731008717,0.892505515484446,7830,39752,398,2020,-0.006080000000000085,-0.01620219390135036,-0.011675126903553296,-0.004707347447073474
Confidence-Based Trust,Clean,None,0.9488,0.9723950233281493,0.7617258883248731,0.8542639189343049,0.005305105853051059,0.2382741116751269,0.7617258883248731,0.9946948941469489,0.9946948941469489,0.8782103912359109,7503,39937,213,2347,0.0,0.0,0.0,0.0
Confidence-Based Trust,Poisoned,Attack Recall Agent,0.94236,0.9760863623940967,0.7251776649746193,0.8321295433364398,0.0043586550435865505,0.2748223350253807,0.7251776649746193,0.9956413449564134,0.9956413449564134,0.8604095049655164,7143,39975,175,2707,0.006440000000000001,0.02213437559786502,0.03654822335025382,-0.0009464508094645082
Hybrid Trust,Clean,None,0.9488,0.9725175006481721,0.7616243654822336,0.8542473240719654,0.005280199252801992,0.2383756345177665,0.7616243654822336,0.994719800747198,0.994719800747198,0.8781720831147157,7502,39938,212,2348,0.0,0.0,0.0,0.0
Hybrid Trust,Poisoned,Attack Recall Agent,0.94232,0.9762100082034455,0.7248730964467005,0.831973898858075,0.004333748443337484,0.2751269035532995,0.7248730964467005,0.9956662515566626,0.9956662515566626,0.8602696740016815,7140,39976,174,2710,0.00647999999999993,0.022273425213890308,0.036751269035532996,-0.0009464508094645082
Attack Override Trust,Clean,None,0.97606,0.9048376532235426,0.9817258883248731,0.9417149534985636,0.025330012453300126,0.018274111675126905,0.9817258883248731,0.9746699875466999,0.9746699875466999,0.9781979379357865,9670,39133,1017,180,0.0,0.0,0.0,0.0
Attack Override Trust,Poisoned,Attack Recall Agent,0.97326,0.8927022788080081,0.9823350253807107,0.9353762869157524,0.02896637608966376,0.01766497461928934,0.9823350253807107,0.9710336239103362,0.9710336239103362,0.9766843246455235,9676,38987,1163,174,0.0028000000000000247,0.0063386665828112365,-0.0006091370558375664,0.0036363636363636355
Role-Aware Trust Voting,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Role-Aware Trust Voting,Poisoned,Attack Recall Agent,0.9616,0.9132791327913279,0.8895431472081218,0.9012548858259617,0.020722291407222915,0.11045685279187817,0.8895431472081218,0.9792777085927771,0.9792777085927771,0.9344104279004495,8762,39318,832,1088,0.0022999999999999687,0.004563011382491267,-0.008324873096446708,0.0049066002490660045
Trust Agent Selector,Clean,None,0.98836,0.9618297787522424,0.9797969543147208,0.9707302353651177,0.009539227895392279,0.020203045685279187,0.9797969543147208,0.9904607721046077,0.9904607721046077,0.9851288632096642,9651,39767,383,199,0.0,0.0,0.0,0.0
Trust Agent Selector,Poisoned,Attack Recall Agent,0.98798,0.9601950442830133,0.9795939086294416,0.9697974772601639,0.009962640099626401,0.020406091370558377,0.9795939086294416,0.9900373599003736,0.9900373599003736,0.9848156342649076,9649,39750,400,201,0.00038000000000004697,0.0009327581049538569,0.00020304568527918995,0.0004234122042341224
Confidence-Margin Trust,Clean,None,0.94494,0.9789445269267107,0.7363451776649746,0.8404890202213338,0.0038854296388542964,0.2636548223350254,0.7363451776649746,0.9961145703611457,0.9961145703611457,0.8662298740130602,7253,39994,156,2597,0.0,0.0,0.0,0.0
Confidence-Margin Trust,Poisoned,Attack Recall Agent,0.9395,0.9824685423441255,0.705482233502538,0.8212491874963068,0.003088418430884184,0.2945177664974619,0.705482233502538,0.9969115815691159,0.9969115815691159,0.851196907535827,6949,40026,124,2901,0.00544,0.01923983272502694,0.030862944162436512,-0.0007970112079701123
Local Accuracy Trust,Clean,None,0.98344,0.9548296027424884,0.9614213197969543,0.9581141238365034,0.01115815691158157,0.03857868020304569,0.9614213197969543,0.9888418430884184,0.9888418430884184,0.9751315814426864,9470,39702,448,380,0.0,0.0,0.0,0.0
Local Accuracy Trust,Poisoned,Attack Recall Agent,0.98498,0.9578343564456073,0.9662944162436549,0.9620457876383484,0.010435865504358655,0.03370558375634518,0.9662944162436549,0.9895641344956413,0.9895641344956413,0.977929275369648,9518,39731,419,332,-0.0015399999999999858,-0.0039316638018449535,-0.00487309644670051,-0.000722291407222915
AI Trust Auditor,Clean,None,0.94556,0.9292941459889184,0.783248730964467,0.8500440722785368,0.014620174346201744,0.216751269035533,0.783248730964467,0.9853798256537982,0.9853798256537982,0.8843142783091327,7715,39563,587,2135,0.0,0.0,0.0,0.0
AI Trust Auditor,Poisoned,Attack Recall Agent,0.95164,0.9516285853184249,0.7949238578680203,0.8662462661798872,0.00991282689912827,0.2050761421319797,0.7949238578680203,0.9900871731008717,0.9900871731008717,0.892505515484446,7830,39752,398,2020,-0.006080000000000085,-0.01620219390135036,-0.011675126903553296,-0.004707347447073474
