Dataset,Poison Mode,Poison Rate,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,ROC AUC,PR AUC,Accuracy Recovery,F1 Recovery,FNR Reduction
CICIDS2017,flip,0.3,General Traffic Agent,Original Agent,0.91908,0.8142052836725855,0.7634517766497462,0.788012155506654,0.042739726027397264,0.2365482233502538,0.7634517766497462,0.9572602739726027,0.9572602739726027,0.8603560253111744,7520,38434,1716,2330,0.9705195238667182,0.8925354921357329,,,
CICIDS2017,flip,0.3,General Traffic Agent,Poisoned Agent,0.67088,0.3233878729547642,0.6140101522842639,0.42364808069487253,0.31516811955168117,0.385989847715736,0.6140101522842639,0.6848318804483188,0.6848318804483188,0.6494210163662913,6048,27496,12654,3802,,,,,
CICIDS2017,flip,0.3,General Traffic Agent,Majority Vote,0.94344,0.9600366876310272,0.7438578680203045,0.8382336117149067,0.007596513075965131,0.25614213197969543,0.7438578680203045,0.9924034869240349,0.9924034869240349,0.8681306774721698,7327,39845,305,2523,,,,,
CICIDS2017,flip,0.3,General Traffic Agent,Majority Vote,0.94344,0.9600366876310272,0.7438578680203045,0.8382336117149067,0.007596513075965131,0.25614213197969543,0.7438578680203045,0.9924034869240349,0.9924034869240349,0.8681306774721698,7327,39845,305,2523,,,0.0,0.0,0.0
CICIDS2017,flip,0.3,General Traffic Agent,Global Trust Voting,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445895,0.022166874221668742,0.08355329949238578,0.9164467005076142,0.9778331257783313,0.9778331257783313,0.9471399131429727,9027,39260,890,823,,,0.022300000000000098,0.07510680412968274,0.17258883248730966
CICIDS2017,flip,0.3,General Traffic Agent,F1 Trust Voting,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445895,0.022166874221668742,0.08355329949238578,0.9164467005076142,0.9778331257783313,0.9778331257783313,0.9471399131429727,9027,39260,890,823,,,0.022300000000000098,0.07510680412968274,0.17258883248730966
CICIDS2017,flip,0.3,General Traffic Agent,Error-Aware Trust,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445895,0.022166874221668742,0.08355329949238578,0.9164467005076142,0.9778331257783313,0.9778331257783313,0.9471399131429727,9027,39260,890,823,,,0.022300000000000098,0.07510680412968274,0.17258883248730966
CICIDS2017,flip,0.3,General Traffic Agent,Attack Recall Trust,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445895,0.022166874221668742,0.08355329949238578,0.9164467005076142,0.9778331257783313,0.9778331257783313,0.9471399131429727,9027,39260,890,823,,,0.022300000000000098,0.07510680412968274,0.17258883248730966
CICIDS2017,flip,0.3,General Traffic Agent,FNR Penalty Trust,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445895,0.022166874221668742,0.08355329949238578,0.9164467005076142,0.9778331257783313,0.9778331257783313,0.9471399131429727,9027,39260,890,823,,,0.022300000000000098,0.07510680412968274,0.17258883248730966
CICIDS2017,flip,0.3,General Traffic Agent,Best Safe Model Selector,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,,,0.024800000000000044,0.08657699434569932,0.24761421319796956
