Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Majority Vote,Clean,None,0.94806,0.9669112913608858,0.7624365482233503,0.8525855707555202,0.006400996264009962,0.23756345177664975,0.7624365482233503,0.9935990037359901,0.9935990037359901,0.8780177759796701,7510,39893,257,2340,0.0,0.0,0.0,0.0
Majority Vote,Poisoned,General Traffic Agent,0.94344,0.9600366876310272,0.7438578680203045,0.8382336117149067,0.007596513075965131,0.25614213197969543,0.7438578680203045,0.9924034869240349,0.9924034869240349,0.8681306774721698,7327,39845,305,2523,0.0046200000000000685,0.014351959040613482,0.018578680203045678,0.0011955168119551687
Global Trust Voting,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Global Trust Voting,Poisoned,General Traffic Agent,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445895,0.022166874221668742,0.08355329949238578,0.9164467005076142,0.9778331257783313,0.9778331257783313,0.9471399131429727,9027,39260,890,823,-0.0018400000000000638,-0.00752251863613651,-0.035228426395939094,0.006351183063511831
F1 Trust Voting,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
F1 Trust Voting,Poisoned,General Traffic Agent,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445895,0.022166874221668742,0.08355329949238578,0.9164467005076142,0.9778331257783313,0.9778331257783313,0.9471399131429727,9027,39260,890,823,-0.0018400000000000638,-0.00752251863613651,-0.035228426395939094,0.006351183063511831
Error-Aware Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Error-Aware Trust,Poisoned,General Traffic Agent,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445895,0.022166874221668742,0.08355329949238578,0.9164467005076142,0.9778331257783313,0.9778331257783313,0.9471399131429727,9027,39260,890,823,-0.0018400000000000638,-0.00752251863613651,-0.035228426395939094,0.006351183063511831
Attack Recall Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Attack Recall Trust,Poisoned,General Traffic Agent,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445895,0.022166874221668742,0.08355329949238578,0.9164467005076142,0.9778331257783313,0.9778331257783313,0.9471399131429727,9027,39260,890,823,-0.0018400000000000638,-0.00752251863613651,-0.035228426395939094,0.006351183063511831
FNR Penalty Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
FNR Penalty Trust,Poisoned,General Traffic Agent,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445895,0.022166874221668742,0.08355329949238578,0.9164467005076142,0.9778331257783313,0.9778331257783313,0.9471399131429727,9027,39260,890,823,-0.0018400000000000638,-0.00752251863613651,-0.035228426395939094,0.006351183063511831
Best Safe Model Selector,Clean,None,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.0,0.0,0.0,0.0
Best Safe Model Selector,Poisoned,General Traffic Agent,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.0,0.0,0.0,0.0
Best Accuracy Selector,Clean,None,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.0,0.0,0.0,0.0
