Dataset,Poison Mode,Poison Rate,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,ROC AUC,PR AUC,Accuracy Recovery,F1 Recovery,FNR Reduction
CICIDS2017,flip,0.3,Hard-Case Agent,Original Agent,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.9971112882528083,0.9885470545380239,,,
CICIDS2017,flip,0.3,Hard-Case Agent,Poisoned Agent,0.68804,0.3536063569682152,0.704771573604061,0.47093141577911946,0.3160647571606476,0.2952284263959391,0.704771573604061,0.6839352428393525,0.6839352428393525,0.6943534082217067,6942,27460,12690,2908,,,,,
CICIDS2017,flip,0.3,Hard-Case Agent,Majority Vote,0.92892,0.9121497774286462,0.7073096446700508,0.7967749313815188,0.016712328767123287,0.29269035532994925,0.7073096446700508,0.9832876712328767,0.9832876712328767,0.8452986579514637,6967,39479,671,2883,,,,,
CICIDS2017,flip,0.3,Hard-Case Agent,Majority Vote,0.92892,0.9121497774286462,0.7073096446700508,0.7967749313815188,0.016712328767123287,0.29269035532994925,0.7073096446700508,0.9832876712328767,0.9832876712328767,0.8452986579514637,6967,39479,671,2883,,,0.0,0.0,0.0
CICIDS2017,flip,0.3,Hard-Case Agent,Global Trust Voting,0.9177,0.7917981072555205,0.7899492385786802,0.7908725923667226,0.05095890410958904,0.2100507614213198,0.7899492385786802,0.949041095890411,0.949041095890411,0.8694951672345456,7781,38104,2046,2069,,,-0.011220000000000008,-0.0059023390147961985,0.08263959390862946
CICIDS2017,flip,0.3,Hard-Case Agent,F1 Trust Voting,0.9177,0.7917981072555205,0.7899492385786802,0.7908725923667226,0.05095890410958904,0.2100507614213198,0.7899492385786802,0.949041095890411,0.949041095890411,0.8694951672345456,7781,38104,2046,2069,,,-0.011220000000000008,-0.0059023390147961985,0.08263959390862946
CICIDS2017,flip,0.3,Hard-Case Agent,Error-Aware Trust,0.9177,0.7917981072555205,0.7899492385786802,0.7908725923667226,0.05095890410958904,0.2100507614213198,0.7899492385786802,0.949041095890411,0.949041095890411,0.8694951672345456,7781,38104,2046,2069,,,-0.011220000000000008,-0.0059023390147961985,0.08263959390862946
CICIDS2017,flip,0.3,Hard-Case Agent,Attack Recall Trust,0.9177,0.7917981072555205,0.7899492385786802,0.7908725923667226,0.05095890410958904,0.2100507614213198,0.7899492385786802,0.949041095890411,0.949041095890411,0.8694951672345456,7781,38104,2046,2069,,,-0.011220000000000008,-0.0059023390147961985,0.08263959390862946
CICIDS2017,flip,0.3,Hard-Case Agent,FNR Penalty Trust,0.9177,0.7917981072555205,0.7899492385786802,0.7908725923667226,0.05095890410958904,0.2100507614213198,0.7899492385786802,0.949041095890411,0.949041095890411,0.8694951672345456,7781,38104,2046,2069,,,-0.011220000000000008,-0.0059023390147961985,0.08263959390862946
CICIDS2017,flip,0.3,Hard-Case Agent,Best Safe Model Selector,0.68804,0.3536063569682152,0.704771573604061,0.47093141577911946,0.3160647571606476,0.2952284263959391,0.704771573604061,0.6839352428393525,0.6839352428393525,0.6943534082217067,6942,27460,12690,2908,,,-0.24087999999999998,-0.3258435156023993,-0.0025380710659898553
CICIDS2017,flip,0.3,Hard-Case Agent,Best Accuracy Selector,0.68804,0.3536063569682152,0.704771573604061,0.47093141577911946,0.3160647571606476,0.2952284263959391,0.704771573604061,0.6839352428393525,0.6839352428393525,0.6943534082217067,6942,27460,12690,2908,,,-0.24087999999999998,-0.3258435156023993,-0.0025380710659898553
CICIDS2017,flip,0.3,Hard-Case Agent,Class-Specific Trust,0.9177,0.7917981072555205,0.7899492385786802,0.7908725923667226,0.05095890410958904,0.2100507614213198,0.7899492385786802,0.949041095890411,0.949041095890411,0.8694951672345456,7781,38104,2046,2069,,,-0.011220000000000008,-0.0059023390147961985,0.08263959390862946
CICIDS2017,flip,0.3,Hard-Case Agent,Dynamic Trust,0.91814,0.8107524560077729,0.7624365482233503,0.7858525610840789,0.043661270236612704,0.23756345177664975,0.7624365482233503,0.9563387297633873,0.9563387297633873,0.8593876389933688,7510,38397,1753,2340,,,-0.010780000000000012,-0.01092237029743992,0.055126903553299494
CICIDS2017,flip,0.3,Hard-Case Agent,Confidence-Based Trust,0.9385,0.9741077676696991,0.7065989847715736,0.8190644307149162,0.00460772104607721,0.2934010152284264,0.7065989847715736,0.9953922789539228,0.9953922789539228,0.8509956318627482,6960,39965,185,2890,,,0.009580000000000033,0.02228949933339741,-0.0007106598984771284
CICIDS2017,flip,0.3,Hard-Case Agent,Hybrid Trust,0.9385,0.9742405151896962,0.706497461928934,0.8190431354086977,0.0045828144458281445,0.29350253807106597,0.706497461928934,0.9954171855541718,0.9954171855541718,0.8509573237415529,6959,39966,184,2891,,,0.009580000000000033,0.022268204027178884,-0.0008121827411167182
CICIDS2017,flip,0.3,Hard-Case Agent,Attack Override Trust,0.9268,0.7867333703909579,0.8621319796954314,0.8227087773687269,0.05733499377334994,0.13786802030456852,0.8621319796954314,0.9426650062266501,0.9426650062266501,0.9023984929610407,8492,37848,2302,1358,,,-0.0021200000000000108,0.02593384598720816,0.15482233502538073
