Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Majority Vote,Clean,None,0.94806,0.9669112913608858,0.7624365482233503,0.8525855707555202,0.006400996264009962,0.23756345177664975,0.7624365482233503,0.9935990037359901,0.9935990037359901,0.8780177759796701,7510,39893,257,2340,0.0,0.0,0.0,0.0
Majority Vote,Poisoned,Hard-Case Agent,0.92892,0.9121497774286462,0.7073096446700508,0.7967749313815188,0.016712328767123287,0.29269035532994925,0.7073096446700508,0.9832876712328767,0.9832876712328767,0.8452986579514637,6967,39479,671,2883,0.019140000000000046,0.055810639374001436,0.055126903553299494,0.010311332503113325
Global Trust Voting,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Global Trust Voting,Poisoned,Hard-Case Agent,0.9177,0.7917981072555205,0.7899492385786802,0.7908725923667226,0.05095890410958904,0.2100507614213198,0.7899492385786802,0.949041095890411,0.949041095890411,0.8694951672345456,7781,38104,2046,2069,0.04620000000000002,0.11494530484173038,0.09126903553299491,0.03514321295143213
F1 Trust Voting,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
F1 Trust Voting,Poisoned,Hard-Case Agent,0.9177,0.7917981072555205,0.7899492385786802,0.7908725923667226,0.05095890410958904,0.2100507614213198,0.7899492385786802,0.949041095890411,0.949041095890411,0.8694951672345456,7781,38104,2046,2069,0.04620000000000002,0.11494530484173038,0.09126903553299491,0.03514321295143213
Error-Aware Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Error-Aware Trust,Poisoned,Hard-Case Agent,0.9177,0.7917981072555205,0.7899492385786802,0.7908725923667226,0.05095890410958904,0.2100507614213198,0.7899492385786802,0.949041095890411,0.949041095890411,0.8694951672345456,7781,38104,2046,2069,0.04620000000000002,0.11494530484173038,0.09126903553299491,0.03514321295143213
Attack Recall Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Attack Recall Trust,Poisoned,Hard-Case Agent,0.9177,0.7917981072555205,0.7899492385786802,0.7908725923667226,0.05095890410958904,0.2100507614213198,0.7899492385786802,0.949041095890411,0.949041095890411,0.8694951672345456,7781,38104,2046,2069,0.04620000000000002,0.11494530484173038,0.09126903553299491,0.03514321295143213
