Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Majority Vote,Clean,None,0.94806,0.9669112913608858,0.7624365482233503,0.8525855707555202,0.006400996264009962,0.23756345177664975,0.7624365482233503,0.9935990037359901,0.9935990037359901,0.8780177759796701,7510,39893,257,2340,0.0,0.0,0.0,0.0
Majority Vote,Poisoned,Normal Behavior Agent,0.94352,0.9154446546830652,0.7858883248730965,0.8457336392439637,0.01780821917808219,0.21411167512690354,0.7858883248730965,0.9821917808219178,0.9821917808219178,0.8840400528475072,7741,39435,715,2109,0.0045399999999999885,0.006851931511556497,-0.02345177664974621,0.01140722291407223
Global Trust Voting,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Global Trust Voting,Poisoned,Normal Behavior Agent,0.95526,0.8735158473162594,0.903756345177665,0.8883788234120054,0.03210460772104608,0.09624365482233503,0.903756345177665,0.9678953922789539,0.9678953922789539,0.9358258687283094,8902,38861,1289,948,0.008639999999999981,0.0174390737964476,-0.022538071065989845,0.016288916562889166
F1 Trust Voting,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
F1 Trust Voting,Poisoned,Normal Behavior Agent,0.95526,0.8735158473162594,0.903756345177665,0.8883788234120054,0.03210460772104608,0.09624365482233503,0.903756345177665,0.9678953922789539,0.9678953922789539,0.9358258687283094,8902,38861,1289,948,0.008639999999999981,0.0174390737964476,-0.022538071065989845,0.016288916562889166
Error-Aware Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Error-Aware Trust,Poisoned,Normal Behavior Agent,0.95526,0.8735158473162594,0.903756345177665,0.8883788234120054,0.03210460772104608,0.09624365482233503,0.903756345177665,0.9678953922789539,0.9678953922789539,0.9358258687283094,8902,38861,1289,948,0.008639999999999981,0.0174390737964476,-0.022538071065989845,0.016288916562889166
Attack Recall Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Attack Recall Trust,Poisoned,Normal Behavior Agent,0.95526,0.8735158473162594,0.903756345177665,0.8883788234120054,0.03210460772104608,0.09624365482233503,0.903756345177665,0.9678953922789539,0.9678953922789539,0.9358258687283094,8902,38861,1289,948,0.008639999999999981,0.0174390737964476,-0.022538071065989845,0.016288916562889166
FNR Penalty Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
FNR Penalty Trust,Poisoned,Normal Behavior Agent,0.95526,0.8735158473162594,0.903756345177665,0.8883788234120054,0.03210460772104608,0.09624365482233503,0.903756345177665,0.9678953922789539,0.9678953922789539,0.9358258687283094,8902,38861,1289,948,0.008639999999999981,0.0174390737964476,-0.022538071065989845,0.016288916562889166
Best Safe Model Selector,Clean,None,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.0,0.0,0.0,0.0
Best Safe Model Selector,Poisoned,Normal Behavior Agent,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.0,0.0,0.0,0.0
Best Accuracy Selector,Clean,None,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.0,0.0,0.0,0.0
Best Accuracy Selector,Poisoned,Normal Behavior Agent,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.0,0.0,0.0,0.0
Class-Specific Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Class-Specific Trust,Poisoned,Normal Behavior Agent,0.95526,0.8735158473162594,0.903756345177665,0.8883788234120054,0.03210460772104608,0.09624365482233503,0.903756345177665,0.9678953922789539,0.9678953922789539,0.9358258687283094,8902,38861,1289,948,0.008639999999999981,0.0174390737964476,-0.022538071065989845,0.016288916562889166
Dynamic Trust,Clean,None,0.94556,0.9292941459889184,0.783248730964467,0.8500440722785368,0.014620174346201744,0.216751269035533,0.783248730964467,0.9853798256537982,0.9853798256537982,0.8843142783091327,7715,39563,587,2135,0.0,0.0,0.0,0.0
Dynamic Trust,Poisoned,Normal Behavior Agent,0.9313,0.8100531657805703,0.8507614213197969,0.8299083931666255,0.0489414694894147,0.14923857868020304,0.8507614213197969,0.9510585305105853,0.9510585305105853,0.9009099759151911,8380,38185,1965,1470,0.01425999999999994,0.020135679111911386,-0.06751269035532995,0.03432129514321296
Confidence-Based Trust,Clean,None,0.9488,0.9723950233281493,0.7617258883248731,0.8542639189343049,0.005305105853051059,0.2382741116751269,0.7617258883248731,0.9946948941469489,0.9946948941469489,0.8782103912359109,7503,39937,213,2347,0.0,0.0,0.0,0.0
Confidence-Based Trust,Poisoned,Normal Behavior Agent,0.95162,0.9643794525684289,0.7833502538071065,0.8644893843482158,0.007098381070983811,0.2166497461928934,0.7833502538071065,0.9929016189290162,0.9929016189290162,0.8881259363680614,7716,39865,285,2134,-0.0028200000000000447,-0.010225465413910895,-0.02162436548223351,0.0017932752179327521
Hybrid Trust,Clean,None,0.9488,0.9725175006481721,0.7616243654822336,0.8542473240719654,0.005280199252801992,0.2383756345177665,0.7616243654822336,0.994719800747198,0.994719800747198,0.8781720831147157,7502,39938,212,2348,0.0,0.0,0.0,0.0
Hybrid Trust,Poisoned,Normal Behavior Agent,0.95166,0.9645044369453818,0.7834517766497462,0.864601422889474,0.007073474470734744,0.2165482233502538,0.7834517766497462,0.9929265255292653,0.9929265255292653,0.8881891510895057,7717,39866,284,2133,-0.0028599999999999737,-0.010354098817508595,-0.02182741116751269,0.0017932752179327521
Attack Override Trust,Clean,None,0.97606,0.9048376532235426,0.9817258883248731,0.9417149534985636,0.025330012453300126,0.018274111675126905,0.9817258883248731,0.9746699875466999,0.9746699875466999,0.9781979379357865,9670,39133,1017,180,0.0,0.0,0.0,0.0
Attack Override Trust,Poisoned,Normal Behavior Agent,0.96576,0.8616246000710984,0.984263959390863,0.9188702492654724,0.03877957658779577,0.015736040609137057,0.984263959390863,0.9612204234122043,0.9612204234122043,0.9727421914015336,9695,38593,1557,155,0.010300000000000087,0.02284470423309115,-0.0025380710659898484,0.013449564134495641
Role-Aware Trust Voting,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Role-Aware Trust Voting,Poisoned,Normal Behavior Agent,0.95526,0.8735158473162594,0.903756345177665,0.8883788234120054,0.03210460772104608,0.09624365482233503,0.903756345177665,0.9678953922789539,0.9678953922789539,0.9358258687283094,8902,38861,1289,948,0.008639999999999981,0.0174390737964476,-0.022538071065989845,0.016288916562889166
Trust Agent Selector,Clean,None,0.98836,0.9618297787522424,0.9797969543147208,0.9707302353651177,0.009539227895392279,0.020203045685279187,0.9797969543147208,0.9904607721046077,0.9904607721046077,0.9851288632096642,9651,39767,383,199,0.0,0.0,0.0,0.0
Trust Agent Selector,Poisoned,Normal Behavior Agent,0.9794,0.9287380906085942,0.9698477157360406,0.9488478347238777,0.01825653798256538,0.03015228426395939,0.9698477157360406,0.9817434620174346,0.9817434620174346,0.9757955888767376,9553,39417,733,297,0.008959999999999968,0.02188240064124003,0.009949238578680204,0.008717310087173101
Confidence-Margin Trust,Clean,None,0.94494,0.9789445269267107,0.7363451776649746,0.8404890202213338,0.0038854296388542964,0.2636548223350254,0.7363451776649746,0.9961145703611457,0.9961145703611457,0.8662298740130602,7253,39994,156,2597,0.0,0.0,0.0,0.0
Confidence-Margin Trust,Poisoned,Normal Behavior Agent,0.9461,0.9797505699342899,0.7417258883248731,0.8442826601952967,0.003760896637608966,0.2582741116751269,0.7417258883248731,0.9962391033623911,0.9962391033623911,0.8689824958436321,7306,39999,151,2544,-0.0011600000000000499,-0.003793639973962981,-0.00538071065989848,-0.00012453300124533025
Local Accuracy Trust,Clean,None,0.98344,0.9548296027424884,0.9614213197969543,0.9581141238365034,0.01115815691158157,0.03857868020304569,0.9614213197969543,0.9888418430884184,0.9888418430884184,0.9751315814426864,9470,39702,448,380,0.0,0.0,0.0,0.0
Local Accuracy Trust,Poisoned,Normal Behavior Agent,0.97586,0.9140557631503305,0.9685279187817258,0.9405037708877606,0.022341220423412203,0.03147208121827411,0.9685279187817258,0.9776587795765878,0.9776587795765878,0.9730933491791568,9540,39253,897,310,0.007580000000000031,0.017610352948742802,-0.0071065989847715755,0.011183063511830633
AI Trust Auditor,Clean,None,0.94556,0.9292941459889184,0.783248730964467,0.8500440722785368,0.014620174346201744,0.216751269035533,0.783248730964467,0.9853798256537982,0.9853798256537982,0.8843142783091327,7715,39563,587,2135,0.0,0.0,0.0,0.0
