sample_index,true_label,hard_case_prediction,general_prediction,attack_recall_prediction,normal_behavior_prediction,which_agents_correct,number_of_correct_non_hardcase_agents,hard_case_confidence,hard_case_margin,general_confidence,general_margin,attack_recall_confidence,attack_recall_margin,normal_behavior_confidence,normal_behavior_margin,selector_prediction,selector_overrode_hard_case,selector_correct_after_override
95,0,1,0,0,0,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.6742674816157241,0.3485349632314483,0.24668319295019728,0.5066336140996055,0.5443307367603804,0.0886614735207607,0.6609997394721733,0.32199947894434655,0,True,True
103,0,1,0,0,0,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.370211319402535,0.25957736119493,0.0015490482464160164,0.996901903507168,0.08761163132677856,0.8247767373464429,0.16996541454950925,0.6600691709009815,0,True,True
205,0,1,0,0,0,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.3058699007145775,0.38826019857084504,0.0024036674696902107,0.9951926650606195,0.5465883459561323,0.09317669191226452,0.06328888394413935,0.8734222321117213,0,True,True
211,0,1,0,0,0,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.690141580718838,0.38028316143767604,0.24765817271403506,0.5046836545719299,0.5451161231470052,0.09023224629401039,0.6587685164674515,0.317537032934903,0,True,True
223,0,1,0,1,0,"general_prediction,normal_behavior_prediction",2,0.8102327890206744,0.6204655780413488,0.3114066016930696,0.3771867966138608,0.5744731983978681,0.1489463967957363,0.658793185815183,0.31758637163036596,0,True,True
264,0,1,0,1,1,general_prediction,1,0.8102327890206744,0.6204655780413488,0.358479550766641,0.283040898466718,0.5744731983978681,0.1489463967957363,0.7877215436661501,0.5754430873323002,1,False,False
288,0,1,0,0,0,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.3046240532931176,0.3907518934137648,0.22267372676119015,0.5546525464776197,0.5536362819637054,0.1072725639274108,0.6966557616386829,0.39331152327736585,0,True,True
322,0,1,0,1,0,"general_prediction,normal_behavior_prediction",2,0.34904129484742186,0.3019174103051563,0.003311724982944565,0.9933765500341109,0.5886199682939366,0.17723993658787318,0.06018059674812683,0.8796388065037464,0,True,True
324,0,1,0,0,0,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.7098137678702859,0.4196275357405719,0.26390036750239637,0.47219926499520726,0.5440949498268106,0.08818989965362123,0.7221814423903802,0.44436288478076036,0,True,True
339,0,1,0,0,0,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.512911789967379,0.025823579934757923,0.19430331437768364,0.6113933712446327,0.448273606836121,0.103452786327758,0.7098882099862127,0.41977641997242543,0,True,True
