Dataset,Poison Mode,Poison Rate,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,ROC AUC,PR AUC,Accuracy Recovery,F1 Recovery,FNR Reduction
NSL-KDD,flip,0.3,Attack Recall Agent,Original Agent,0.875100996498788,0.926582822745351,0.8041419842343392,0.8610313397427893,0.05909071246268979,0.1958580157656607,0.8041419842343392,0.9409092875373102,0.9409092875373102,0.8725256358858247,17240,21751,1366,4199,0.9022818272045212,0.9306661154485836,,,
NSL-KDD,flip,0.3,Attack Recall Agent,Poisoned Agent,0.6509336565221294,0.6400894897182026,0.627221418909464,0.6335901241548284,0.32707531254055455,0.37277858109053597,0.627221418909464,0.6729246874594454,0.6729246874594454,0.6500730531844547,13447,15556,7561,7992,,,,,
NSL-KDD,flip,0.3,Attack Recall Agent,Majority Vote,0.9268336475446629,0.9531382421855527,0.8917859974812258,0.9214419972046846,0.04066271575031362,0.1082140025187742,0.8917859974812258,0.9593372842496863,0.9593372842496863,0.9255616408654561,19119,22177,940,2320,,,,,
NSL-KDD,flip,0.3,Attack Recall Agent,Majority Vote,0.9268336475446629,0.9531382421855527,0.8917859974812258,0.9214419972046846,0.04066271575031362,0.1082140025187742,0.8917859974812258,0.9593372842496863,0.9593372842496863,0.9255616408654561,19119,22177,940,2320,,,0.0,0.0,0.0
NSL-KDD,flip,0.3,Attack Recall Agent,Global Trust Voting,0.94223000269324,0.9430691906618441,0.9364709174868231,0.9397584721962179,0.052428948392957565,0.06352908251317692,0.9364709174868231,0.9475710516070425,0.9475710516070425,0.9420209845469327,20077,21905,1212,1362,,,0.015396355148577068,0.018316474991533327,0.044684920005597276
NSL-KDD,flip,0.3,Attack Recall Agent,F1 Trust Voting,0.94223000269324,0.9430691906618441,0.9364709174868231,0.9397584721962179,0.052428948392957565,0.06352908251317692,0.9364709174868231,0.9475710516070425,0.9475710516070425,0.9420209845469327,20077,21905,1212,1362,,,0.015396355148577068,0.018316474991533327,0.044684920005597276
NSL-KDD,flip,0.3,Attack Recall Agent,Error-Aware Trust,0.94223000269324,0.9430691906618441,0.9364709174868231,0.9397584721962179,0.052428948392957565,0.06352908251317692,0.9364709174868231,0.9475710516070425,0.9475710516070425,0.9420209845469327,20077,21905,1212,1362,,,0.015396355148577068,0.018316474991533327,0.044684920005597276
NSL-KDD,flip,0.3,Attack Recall Agent,Attack Recall Trust,0.930379746835443,0.9215208496161096,0.9349316665889267,0.9281778189395693,0.07384176147423974,0.06506833341107328,0.9349316665889267,0.9261582385257603,0.9261582385257603,0.9305449525573435,20044,21410,1707,1395,,,0.0035460992907800915,0.006735821734884739,0.043145669107700915
NSL-KDD,flip,0.3,Attack Recall Agent,FNR Penalty Trust,0.930379746835443,0.9215208496161096,0.9349316665889267,0.9281778189395693,0.07384176147423974,0.06506833341107328,0.9349316665889267,0.9261582385257603,0.9261582385257603,0.9305449525573435,20044,21410,1707,1395,,,0.0035460992907800915,0.006735821734884739,0.043145669107700915
NSL-KDD,flip,0.3,Attack Recall Agent,Best Safe Model Selector,0.9507810395906275,0.9573234483414124,0.9395960632492187,0.9483769214472353,0.038845871004023015,0.06040393675078129,0.9395960632492187,0.961154128995977,0.961154128995977,0.9503750961225979,20144,22219,898,1295,,,0.023947392045964633,0.02693492424255073,0.047810065767992904
