Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Majority Vote,Clean,None,0.9278436125325433,0.9608071204612116,0.8861887214888754,0.9219906340232451,0.03352511138988623,0.11381127851112459,0.8861887214888754,0.9664748886101138,0.9664748886101138,0.9263318050494946,18999,22342,775,2440,0.0,0.0,0.0,0.0
Majority Vote,Poisoned,Attack Recall Agent,0.9268336475446629,0.9531382421855527,0.8917859974812258,0.9214419972046846,0.04066271575031362,0.1082140025187742,0.8917859974812258,0.9593372842496863,0.9593372842496863,0.9255616408654561,19119,22177,940,2320,0.0010099649878804184,0.0005486368185605439,-0.005597275992350395,0.007137604360427388
Global Trust Voting,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
Global Trust Voting,Poisoned,Attack Recall Agent,0.94223000269324,0.9430691906618441,0.9364709174868231,0.9397584721962179,0.052428948392957565,0.06352908251317692,0.9364709174868231,0.9475710516070425,0.9475710516070425,0.9420209845469327,20077,21905,1212,1362,0.0027381273004758455,0.0026287458488949422,-0.0010728112318671573,0.006272440195527106
F1 Trust Voting,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
F1 Trust Voting,Poisoned,Attack Recall Agent,0.94223000269324,0.9430691906618441,0.9364709174868231,0.9397584721962179,0.052428948392957565,0.06352908251317692,0.9364709174868231,0.9475710516070425,0.9475710516070425,0.9420209845469327,20077,21905,1212,1362,0.0027381273004758455,0.0026287458488949422,-0.0010728112318671573,0.006272440195527106
Error-Aware Trust,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
Error-Aware Trust,Poisoned,Attack Recall Agent,0.94223000269324,0.9430691906618441,0.9364709174868231,0.9397584721962179,0.052428948392957565,0.06352908251317692,0.9364709174868231,0.9475710516070425,0.9475710516070425,0.9420209845469327,20077,21905,1212,1362,0.0027381273004758455,0.0026287458488949422,-0.0010728112318671573,0.006272440195527106
Attack Recall Trust,Clean,None,0.930379746835443,0.9215208496161096,0.9349316665889267,0.9281778189395693,0.07384176147423974,0.06506833341107328,0.9349316665889267,0.9261582385257603,0.9261582385257603,0.9305449525573435,20044,21410,1707,1395,0.0,0.0,0.0,0.0
Attack Recall Trust,Poisoned,Attack Recall Agent,0.930379746835443,0.9215208496161096,0.9349316665889267,0.9281778189395693,0.07384176147423974,0.06506833341107328,0.9349316665889267,0.9261582385257603,0.9261582385257603,0.9305449525573435,20044,21410,1707,1395,0.0,0.0,0.0,0.0
FNR Penalty Trust,Clean,None,0.930379746835443,0.9215208496161096,0.9349316665889267,0.9281778189395693,0.07384176147423974,0.06506833341107328,0.9349316665889267,0.9261582385257603,0.9261582385257603,0.9305449525573435,20044,21410,1707,1395,0.0,0.0,0.0,0.0
