Dataset,Poison Mode,Poison Rate,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,ROC AUC,PR AUC,Accuracy Recovery,F1 Recovery,FNR Reduction
NSL-KDD,flip,0.3,General Traffic Agent,Original Agent,0.9507810395906275,0.9573234483414124,0.9395960632492187,0.9483769214472353,0.038845871004023015,0.06040393675078129,0.9395960632492187,0.961154128995977,0.961154128995977,0.9503750961225979,20144,22219,898,1295,0.9898540666114622,0.9883475362923919,,,
NSL-KDD,flip,0.3,General Traffic Agent,Poisoned Agent,0.6808286201633899,0.6649150063973679,0.6787163580390877,0.6717448006832398,0.31721244106069124,0.32128364196091236,0.6787163580390877,0.6827875589393088,0.6827875589393088,0.6807519584891982,14551,15784,7333,6888,,,,,
NSL-KDD,flip,0.3,General Traffic Agent,Majority Vote,0.9060508124607236,0.945652735444542,0.853817808666449,0.897391901166781,0.04550763507375524,0.146182191333551,0.853817808666449,0.9544923649262448,0.9544923649262448,0.9041550867963468,18305,22065,1052,3134,,,,,
NSL-KDD,flip,0.3,General Traffic Agent,Majority Vote,0.9060508124607236,0.945652735444542,0.853817808666449,0.897391901166781,0.04550763507375524,0.146182191333551,0.853817808666449,0.9544923649262448,0.9544923649262448,0.9041550867963468,18305,22065,1052,3134,,,0.0,0.0,0.0
NSL-KDD,flip,0.3,General Traffic Agent,Global Trust Voting,0.8911033306400934,0.8775435881094369,0.8991557442044872,0.8882182186794453,0.11636458017908899,0.10084425579551284,0.8991557442044872,0.883635419820911,0.883635419820911,0.8913955820126991,19277,20427,2690,2162,,,-0.014947481820630215,-0.009173682487335744,0.045337935538038165
NSL-KDD,flip,0.3,General Traffic Agent,F1 Trust Voting,0.8911033306400934,0.8775435881094369,0.8991557442044872,0.8882182186794453,0.11636458017908899,0.10084425579551284,0.8991557442044872,0.883635419820911,0.883635419820911,0.8913955820126991,19277,20427,2690,2162,,,-0.014947481820630215,-0.009173682487335744,0.045337935538038165
NSL-KDD,flip,0.3,General Traffic Agent,Error-Aware Trust,0.8911033306400934,0.8775435881094369,0.8991557442044872,0.8882182186794453,0.11636458017908899,0.10084425579551284,0.8991557442044872,0.883635419820911,0.883635419820911,0.8913955820126991,19277,20427,2690,2162,,,-0.014947481820630215,-0.009173682487335744,0.045337935538038165
NSL-KDD,flip,0.3,General Traffic Agent,Attack Recall Trust,0.8938639016069665,0.8631661305746327,0.9262558888007836,0.8935988300146248,0.13617683955530563,0.07374411119921638,0.9262558888007836,0.8638231604446944,0.8638231604446944,0.895039524622739,19858,19969,3148,1581,,,-0.012186910853757116,-0.0037930711521562133,0.07243808013433463
NSL-KDD,flip,0.3,General Traffic Agent,FNR Penalty Trust,0.8938639016069665,0.8631661305746327,0.9262558888007836,0.8935988300146248,0.13617683955530563,0.07374411119921638,0.9262558888007836,0.8638231604446944,0.8638231604446944,0.895039524622739,19858,19969,3148,1581,,,-0.012186910853757116,-0.0037930711521562133,0.07243808013433463
NSL-KDD,flip,0.3,General Traffic Agent,Best Safe Model Selector,0.6808286201633899,0.6649150063973679,0.6787163580390877,0.6717448006832398,0.31721244106069124,0.32128364196091236,0.6787163580390877,0.6827875589393088,0.6827875589393088,0.6807519584891982,14551,15784,7333,6888,,,-0.22522219229733376,-0.2256471004835412,-0.17510145062736135
NSL-KDD,flip,0.3,General Traffic Agent,Best Accuracy Selector,0.6808286201633899,0.6649150063973679,0.6787163580390877,0.6717448006832398,0.31721244106069124,0.32128364196091236,0.6787163580390877,0.6827875589393088,0.6827875589393088,0.6807519584891982,14551,15784,7333,6888,,,-0.22522219229733376,-0.2256471004835412,-0.17510145062736135
NSL-KDD,flip,0.3,General Traffic Agent,Class-Specific Trust,0.8911033306400934,0.8775435881094369,0.8991557442044872,0.8882182186794453,0.11636458017908899,0.10084425579551284,0.8991557442044872,0.883635419820911,0.883635419820911,0.8913955820126991,19277,20427,2690,2162,,,-0.014947481820630215,-0.009173682487335744,0.045337935538038165
NSL-KDD,flip,0.3,General Traffic Agent,Dynamic Trust,0.9037166711554,0.9047057157691037,0.8940715518447688,0.899357199831089,0.08733832244668426,0.10592844815523111,0.8940715518447688,0.9126616775533157,0.9126616775533157,0.9033666146990422,19168,21098,2019,2271,,,-0.0023341413053236115,0.001965298664307946,0.040253743178319895
NSL-KDD,flip,0.3,General Traffic Agent,Confidence-Based Trust,0.9131654547086812,0.9704401842133448,0.8452819627781146,0.9035474783735946,0.023878530951248,0.15471803722188535,0.8452819627781146,0.976121469048752,0.976121469048752,0.9107017159134333,18122,22565,552,3317,,,0.007114642247957548,0.0061555772068135894,-0.008535845888334337
NSL-KDD,flip,0.3,General Traffic Agent,Hybrid Trust,0.9132103420414759,0.9700406591054996,0.8457484024441438,0.9036405771099648,0.024224596617208115,0.15425159755585616,0.8457484024441438,0.9757754033827919,0.9757754033827919,0.9107619029134679,18132,22557,560,3307,,,0.007159529580752277,0.00624867594318379,-0.008069406222305148
NSL-KDD,flip,0.3,General Traffic Agent,Attack Override Trust,0.8360714606338091,0.7509320078111131,0.9865198936517562,0.8527538101765987,0.30345633083877666,0.013480106348243854,0.9865198936517562,0.6965436691612233,0.6965436691612233,0.8415317814064898,21150,16102,7015,289,,,-0.0699793518269145,-0.044638090990182344,0.13270208498530717
NSL-KDD,flip,0.3,General Traffic Agent,Role-Aware Trust Voting,0.8899587036538289,0.8535750940814232,0.9310135733942815,0.8906141936059613,0.14811610503092962,0.06898642660571855,0.9310135733942815,0.8518838949690704,0.8518838949690704,0.8914487341816759,19960,19693,3424,1479,,,-0.01609210880689471,-0.006777707560819746,0.07719576472783246
NSL-KDD,flip,0.3,General Traffic Agent,Trust Agent Selector,0.9601176048119221,0.9416838889388085,0.9776575399972014,0.9593335926951507,0.05614915430202881,0.022342460002798638,0.9776575399972014,0.9438508456979712,0.9438508456979712,0.9607541928475862,20960,21819,1298,479,,,0.05406679235119849,0.0619416915283697,0.12383973133075238
NSL-KDD,flip,0.3,General Traffic Agent,Confidence-Margin Trust,0.9057814884639555,0.9816190848650762,0.8195344932133029,0.893283847679089,0.014231950512609767,0.18046550678669715,0.8195344932133029,0.9857680494873903,0.9857680494873903,0.9026512713503465,17570,22788,329,3869,,,-0.000269323996768156,-0.004108053487692054,-0.03428331545314614
NSL-KDD,flip,0.3,General Traffic Agent,Local Accuracy Trust,0.9718780860041296,0.9617953879941434,0.9805028219599795,0.9710590137429265,0.0361206038845871,0.019497178040020522,0.9805028219599795,0.9638793961154128,0.9638793961154128,0.9721911090376962,21021,22282,835,418,,,0.065827273543406,0.07366711257614544,0.1266850132935305
NSL-KDD,flip,0.3,General Traffic Agent,AI Trust Auditor,0.9037166711554,0.9047057157691037,0.8940715518447688,0.899357199831089,0.08733832244668426,0.10592844815523111,0.8940715518447688,0.9126616775533157,0.9126616775533157,0.9033666146990422,19168,21098,2019,2271,,,-0.0023341413053236115,0.001965298664307946,0.040253743178319895
