Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Majority Vote,Clean,None,0.9278436125325433,0.9608071204612116,0.8861887214888754,0.9219906340232451,0.03352511138988623,0.11381127851112459,0.8861887214888754,0.9664748886101138,0.9664748886101138,0.9263318050494946,18999,22342,775,2440,0.0,0.0,0.0,0.0
Majority Vote,Poisoned,General Traffic Agent,0.9060508124607236,0.945652735444542,0.853817808666449,0.897391901166781,0.04550763507375524,0.146182191333551,0.853817808666449,0.9544923649262448,0.9544923649262448,0.9041550867963468,18305,22065,1052,3134,0.021792800071819718,0.02459873285646408,0.03237091282242642,0.011982523683869012
Global Trust Voting,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
Global Trust Voting,Poisoned,General Traffic Agent,0.8911033306400934,0.8775435881094369,0.8991557442044872,0.8882182186794453,0.11636458017908899,0.10084425579551284,0.8991557442044872,0.883635419820911,0.883635419820911,0.8913955820126991,19277,20427,2690,2162,0.05386479935362243,0.05416899936566755,0.03624236205046877,0.07020807198165853
F1 Trust Voting,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
F1 Trust Voting,Poisoned,General Traffic Agent,0.8911033306400934,0.8775435881094369,0.8991557442044872,0.8882182186794453,0.11636458017908899,0.10084425579551284,0.8991557442044872,0.883635419820911,0.883635419820911,0.8913955820126991,19277,20427,2690,2162,0.05386479935362243,0.05416899936566755,0.03624236205046877,0.07020807198165853
Error-Aware Trust,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
Error-Aware Trust,Poisoned,General Traffic Agent,0.8911033306400934,0.8775435881094369,0.8991557442044872,0.8882182186794453,0.11636458017908899,0.10084425579551284,0.8991557442044872,0.883635419820911,0.883635419820911,0.8913955820126991,19277,20427,2690,2162,0.05386479935362243,0.05416899936566755,0.03624236205046877,0.07020807198165853
Attack Recall Trust,Clean,None,0.930379746835443,0.9215208496161096,0.9349316665889267,0.9281778189395693,0.07384176147423974,0.06506833341107328,0.9349316665889267,0.9261582385257603,0.9261582385257603,0.9305449525573435,20044,21410,1707,1395,0.0,0.0,0.0,0.0
Attack Recall Trust,Poisoned,General Traffic Agent,0.8938639016069665,0.8631661305746327,0.9262558888007836,0.8935988300146248,0.13617683955530563,0.07374411119921638,0.9262558888007836,0.8638231604446944,0.8638231604446944,0.895039524622739,19858,19969,3148,1581,0.03651584522847651,0.03457898892494449,0.008675777788143102,0.06233507808106589
FNR Penalty Trust,Clean,None,0.930379746835443,0.9215208496161096,0.9349316665889267,0.9281778189395693,0.07384176147423974,0.06506833341107328,0.9349316665889267,0.9261582385257603,0.9261582385257603,0.9305449525573435,20044,21410,1707,1395,0.0,0.0,0.0,0.0
FNR Penalty Trust,Poisoned,General Traffic Agent,0.8938639016069665,0.8631661305746327,0.9262558888007836,0.8935988300146248,0.13617683955530563,0.07374411119921638,0.9262558888007836,0.8638231604446944,0.8638231604446944,0.895039524622739,19858,19969,3148,1581,0.03651584522847651,0.03457898892494449,0.008675777788143102,0.06233507808106589
Best Safe Model Selector,Clean,None,0.9507810395906275,0.9573234483414124,0.9395960632492187,0.9483769214472353,0.038845871004023015,0.06040393675078129,0.9395960632492187,0.961154128995977,0.961154128995977,0.9503750961225979,20144,22219,898,1295,0.0,0.0,0.0,0.0
Best Safe Model Selector,Poisoned,General Traffic Agent,0.6808286201633899,0.6649150063973679,0.6787163580390877,0.6717448006832398,0.31721244106069124,0.32128364196091236,0.6787163580390877,0.6827875589393088,0.6827875589393088,0.6807519584891982,14551,15784,7333,6888,0.2699524194272377,0.27663212076399546,0.26087970521013104,0.2783665700566682
Best Accuracy Selector,Clean,None,0.9507810395906275,0.9573234483414124,0.9395960632492187,0.9483769214472353,0.038845871004023015,0.06040393675078129,0.9395960632492187,0.961154128995977,0.961154128995977,0.9503750961225979,20144,22219,898,1295,0.0,0.0,0.0,0.0
Best Accuracy Selector,Poisoned,General Traffic Agent,0.6808286201633899,0.6649150063973679,0.6787163580390877,0.6717448006832398,0.31721244106069124,0.32128364196091236,0.6787163580390877,0.6827875589393088,0.6827875589393088,0.6807519584891982,14551,15784,7333,6888,0.2699524194272377,0.27663212076399546,0.26087970521013104,0.2783665700566682
Class-Specific Trust,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
Class-Specific Trust,Poisoned,General Traffic Agent,0.8911033306400934,0.8775435881094369,0.8991557442044872,0.8882182186794453,0.11636458017908899,0.10084425579551284,0.8991557442044872,0.883635419820911,0.883635419820911,0.8913955820126991,19277,20427,2690,2162,0.05386479935362243,0.05416899936566755,0.03624236205046877,0.07020807198165853
Dynamic Trust,Clean,None,0.9275518448693778,0.9528072007558804,0.8936984001119456,0.9223067295658034,0.041052039624518755,0.10630159988805447,0.8936984001119456,0.9589479603754812,0.9589479603754812,0.9263231802437134,19160,22168,949,2279,0.0,0.0,0.0,0.0
Dynamic Trust,Poisoned,General Traffic Agent,0.9037166711554,0.9047057157691037,0.8940715518447688,0.899357199831089,0.08733832244668426,0.10592844815523111,0.8940715518447688,0.9126616775533157,0.9126616775533157,0.9033666146990422,19168,21098,2019,2271,0.02383517371397781,0.022949529734714424,-0.00037315173282335967,0.0462862828221655
Confidence-Based Trust,Clean,None,0.9295044438459467,0.9680274196848783,0.8826437800270535,0.9233659452997292,0.027036380153134056,0.1173562199729465,0.8826437800270535,0.972963619846866,0.972963619846866,0.9278036999369597,18923,22492,625,2516,0.0,0.0,0.0,0.0
Confidence-Based Trust,Poisoned,General Traffic Agent,0.9131654547086812,0.9704401842133448,0.8452819627781146,0.9035474783735946,0.023878530951248,0.15471803722188535,0.8452819627781146,0.976121469048752,0.976121469048752,0.9107017159134333,18122,22565,552,3317,0.016338989137265503,0.019818466926134537,0.03736181724893885,-0.0031578492018860572
Hybrid Trust,Clean,None,0.929459556513152,0.9675457426147398,0.8830169317598768,0.9233508108767223,0.0274689622355842,0.11698306824012314,0.8830169317598768,0.9725310377644159,0.9725310377644159,0.9277739847621463,18931,22482,635,2508,0.0,0.0,0.0,0.0
Hybrid Trust,Poisoned,General Traffic Agent,0.9132103420414759,0.9700406591054996,0.8457484024441438,0.9036405771099648,0.024224596617208115,0.15425159755585616,0.8457484024441438,0.9757754033827919,0.9757754033827919,0.9107619029134679,18132,22557,560,3307,0.016249214471676154,0.019710233766757512,0.03726852931573302,-0.0032443656183760855
Attack Override Trust,Clean,None,0.8389891372654636,0.7525225703664365,0.9914175101450627,0.8556074390145721,0.3023748756326513,0.008582489854937264,0.9914175101450627,0.6976251243673487,0.6976251243673487,0.8445213172562057,21255,16127,6990,184,0.0,0.0,0.0,0.0
Attack Override Trust,Poisoned,General Traffic Agent,0.8360714606338091,0.7509320078111131,0.9865198936517562,0.8527538101765987,0.30345633083877666,0.013480106348243854,0.9865198936517562,0.6965436691612233,0.6965436691612233,0.8415317814064898,21150,16102,7015,289,0.002917676631654542,0.0028536288379734653,0.0048976164933065905,0.001081455206125348
Role-Aware Trust Voting,Clean,None,0.9211105126133405,0.9036209691947397,0.9358645459209851,0.9194601654331737,0.09257256564433101,0.06413545407901487,0.9358645459209851,0.907427434355669,0.907427434355669,0.921645990138327,20064,20977,2140,1375,0.0,0.0,0.0,0.0
Role-Aware Trust Voting,Poisoned,General Traffic Agent,0.8899587036538289,0.8535750940814232,0.9310135733942815,0.8906141936059613,0.14811610503092962,0.06898642660571855,0.9310135733942815,0.8518838949690704,0.8518838949690704,0.8914487341816759,19960,19693,3424,1479,0.03115180895951164,0.02884597182721238,0.004850972526703676,0.0555435393865986
Trust Agent Selector,Clean,None,0.9745488823054134,0.9653481230233304,0.9823685806240963,0.9737839837248012,0.03270320543323096,0.017631419375903727,0.9823685806240963,0.9672967945667691,0.9672967945667691,0.9748326875954327,21061,22361,756,378,0.0,0.0,0.0,0.0
Trust Agent Selector,Poisoned,General Traffic Agent,0.9601176048119221,0.9416838889388085,0.9776575399972014,0.9593335926951507,0.05614915430202881,0.022342460002798638,0.9776575399972014,0.9438508456979712,0.9438508456979712,0.9607541928475862,20960,21819,1298,479,0.014431277493491268,0.014450391029650511,0.004711040626894911,0.023445948868797854
Confidence-Margin Trust,Clean,None,0.9269009785438549,0.9792808941374948,0.8664116796492374,0.9193951543049471,0.017000475840290696,0.13358832035076262,0.8664116796492374,0.9829995241597093,0.9829995241597093,0.9247056019044733,18575,22724,393,2864,0.0,0.0,0.0,0.0
Confidence-Margin Trust,Poisoned,General Traffic Agent,0.9057814884639555,0.9816190848650762,0.8195344932133029,0.893283847679089,0.014231950512609767,0.18046550678669715,0.8195344932133029,0.9857680494873903,0.9857680494873903,0.9026512713503465,17570,22788,329,3869,0.02111949007989944,0.026111306625858144,0.046877186435934526,-0.0027685253276809284
Local Accuracy Trust,Clean,None,0.9848729688481911,0.979450473331794,0.9893185316479314,0.9843597716619483,0.019249902669031448,0.01068146835206866,0.9893185316479314,0.9807500973309685,0.9807500973309685,0.98503431448945,21210,22672,445,229,0.0,0.0,0.0,0.0
Local Accuracy Trust,Poisoned,General Traffic Agent,0.9718780860041296,0.9617953879941434,0.9805028219599795,0.9710590137429265,0.0361206038845871,0.019497178040020522,0.9805028219599795,0.9638793961154128,0.9638793961154128,0.9721911090376962,21021,22282,835,418,0.012994882844061473,0.013300757919021855,0.008815709687951862,0.01687070121555565
AI Trust Auditor,Clean,None,0.9275518448693778,0.9528072007558804,0.8936984001119456,0.9223067295658034,0.041052039624518755,0.10630159988805447,0.8936984001119456,0.9589479603754812,0.9589479603754812,0.9263231802437134,19160,22168,949,2279,0.0,0.0,0.0,0.0
AI Trust Auditor,Poisoned,General Traffic Agent,0.9037166711554,0.9047057157691037,0.8940715518447688,0.899357199831089,0.08733832244668426,0.10592844815523111,0.8940715518447688,0.9126616775533157,0.9126616775533157,0.9033666146990422,19168,21098,2019,2271,0.02383517371397781,0.022949529734714424,-0.00037315173282335967,0.0462862828221655
