Dataset,Poison Mode,Poison Rate,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,ROC AUC,PR AUC,Accuracy Recovery,F1 Recovery,FNR Reduction
NSL-KDD,flip,0.3,Hard-Case Agent,Original Agent,0.8362061226321932,0.7596298608306099,0.9649237371146042,0.8500575279421433,0.28316823117186485,0.035076262885395774,0.9649237371146042,0.7168317688281352,0.7168317688281352,0.8408777529713697,20687,16571,6546,752,0.8438454085090278,0.7549079919260597,,,
NSL-KDD,flip,0.3,Hard-Case Agent,Poisoned Agent,0.6332704910674207,0.6050690294663095,0.6848267176640701,0.6424820584631542,0.4145434096119739,0.31517328233592984,0.6848267176640701,0.5854565903880261,0.5854565903880261,0.6351416540260482,14682,13534,9583,6757,,,,,
NSL-KDD,flip,0.3,Hard-Case Agent,Majority Vote,0.9132552293742706,0.9644291754756871,0.8511124586034796,0.9042344954037513,0.02911277414889475,0.14888754139652036,0.8511124586034796,0.9708872258511052,0.9708872258511052,0.9109998422272925,18247,22444,673,3192,,,,,
NSL-KDD,flip,0.3,Hard-Case Agent,Majority Vote,0.9132552293742706,0.9644291754756871,0.8511124586034796,0.9042344954037513,0.02911277414889475,0.14888754139652036,0.8511124586034796,0.9708872258511052,0.9708872258511052,0.9109998422272925,18247,22444,673,3192,,,0.0,0.0,0.0
NSL-KDD,flip,0.3,Hard-Case Agent,Global Trust Voting,0.9413546997037436,0.95285288174733,0.9238304025374318,0.9381172291296626,0.042393044080114205,0.07616959746256821,0.9238304025374318,0.9576069559198858,0.9576069559198858,0.9407186792286588,19806,22137,980,1633,,,0.02809947032947302,0.03388273372591122,0.07271794393395214
NSL-KDD,flip,0.3,Hard-Case Agent,F1 Trust Voting,0.9413546997037436,0.95285288174733,0.9238304025374318,0.9381172291296626,0.042393044080114205,0.07616959746256821,0.9238304025374318,0.9576069559198858,0.9576069559198858,0.9407186792286588,19806,22137,980,1633,,,0.02809947032947302,0.03388273372591122,0.07271794393395214
NSL-KDD,flip,0.3,Hard-Case Agent,Error-Aware Trust,0.9413546997037436,0.95285288174733,0.9238304025374318,0.9381172291296626,0.042393044080114205,0.07616959746256821,0.9238304025374318,0.9576069559198858,0.9576069559198858,0.9407186792286588,19806,22137,980,1633,,,0.02809947032947302,0.03388273372591122,0.07271794393395214
NSL-KDD,flip,0.3,Hard-Case Agent,Attack Recall Trust,0.9288311338540264,0.9315819315819316,0.919632445543169,0.9255686219280332,0.06263788553878098,0.08036755445683101,0.919632445543169,0.937362114461219,0.937362114461219,0.928497280002194,19716,21669,1448,1723,,,0.015575904479755764,0.021334126524281904,0.06851998693968935
NSL-KDD,flip,0.3,Hard-Case Agent,FNR Penalty Trust,0.9288311338540264,0.9315819315819316,0.919632445543169,0.9255686219280332,0.06263788553878098,0.08036755445683101,0.919632445543169,0.937362114461219,0.937362114461219,0.928497280002194,19716,21669,1448,1723,,,0.015575904479755764,0.021334126524281904,0.06851998693968935
NSL-KDD,flip,0.3,Hard-Case Agent,Best Safe Model Selector,0.9507810395906275,0.9573234483414124,0.9395960632492187,0.9483769214472353,0.038845871004023015,0.06040393675078129,0.9395960632492187,0.961154128995977,0.961154128995977,0.9503750961225979,20144,22219,898,1295,,,0.037525810216356925,0.04414242604348395,0.08848360464573907
NSL-KDD,flip,0.3,Hard-Case Agent,Best Accuracy Selector,0.9507810395906275,0.9573234483414124,0.9395960632492187,0.9483769214472353,0.038845871004023015,0.06040393675078129,0.9395960632492187,0.961154128995977,0.961154128995977,0.9503750961225979,20144,22219,898,1295,,,0.037525810216356925,0.04414242604348395,0.08848360464573907
NSL-KDD,flip,0.3,Hard-Case Agent,Class-Specific Trust,0.9413546997037436,0.95285288174733,0.9238304025374318,0.9381172291296626,0.042393044080114205,0.07616959746256821,0.9238304025374318,0.9576069559198858,0.9576069559198858,0.9407186792286588,19806,22137,980,1633,,,0.02809947032947302,0.03388273372591122,0.07271794393395214
NSL-KDD,flip,0.3,Hard-Case Agent,Dynamic Trust,0.9275069575365832,0.9528025065897449,0.8936051121787397,0.9222548500457325,0.041052039624518755,0.10639488782126032,0.8936051121787397,0.9589479603754812,0.9589479603754812,0.9262765362771105,19158,22168,949,2281,,,0.014251728162312571,0.01802035464198115,0.04249265357526004
NSL-KDD,flip,0.3,Hard-Case Agent,Confidence-Based Trust,0.9163973426698986,0.9726254002134471,0.8501795792714213,0.9072898777968591,0.022191460829692432,0.14982042072857876,0.8501795792714213,0.9778085391703075,0.9778085391703075,0.9139940592208644,18227,22604,513,3212,,,0.0031421132956279685,0.003055382393107764,-0.0009328793320584061
NSL-KDD,flip,0.3,Hard-Case Agent,Hybrid Trust,0.9159709130083491,0.9721940545444842,0.8496664956387892,0.9068100358422939,0.02253752649565255,0.15033350436121087,0.8496664956387892,0.9774624735043475,0.9774624735043475,0.9135644845715682,18216,22596,521,3223,,,0.0027156836340784807,0.0025755404385425784,-0.001445962964690517
NSL-KDD,flip,0.3,Hard-Case Agent,Attack Override Trust,0.8642607056288716,0.7908462148985222,0.9760250011660991,0.8737316798196166,0.23939092442791018,0.023974998833900835,0.9760250011660991,0.7606090755720898,0.7606090755720898,0.8683170383690945,20925,17583,5534,514,,,-0.04899452374539903,-0.0305028155841347,0.12491254256261952
NSL-KDD,flip,0.3,Hard-Case Agent,Role-Aware Trust Voting,0.9084522847652392,0.9161472816185636,0.8913195578151966,0.9035629004421117,0.07565860622053035,0.1086804421848034,0.8913195578151966,0.9243413937794697,0.9243413937794697,0.9078304757973331,19109,21368,1749,2330,,,-0.004802944609031412,-0.0006715949616395989,0.04020709921171696
NSL-KDD,flip,0.3,Hard-Case Agent,Trust Agent Selector,0.730608672232696,0.7308896936478418,0.6966276412146089,0.7133475031643303,0.2378768871393347,0.3033723587853911,0.6966276412146089,0.7621231128606654,0.7621231128606654,0.7293753770376371,14935,17618,5499,6504,,,-0.18264655714157463,-0.19088699223942107,-0.15448481738887074
NSL-KDD,flip,0.3,Hard-Case Agent,Confidence-Margin Trust,0.9128063560463238,0.9818820687383332,0.8341806987266197,0.9020250674602174,0.014275208720854781,0.1658193012733803,0.8341806987266197,0.9857247912791453,0.9857247912791453,0.9099527450028825,17884,22787,330,3555,,,-0.00044887332794685264,-0.002209427943533959,-0.016931759876859936
