Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Majority Vote,Clean,None,0.9278436125325433,0.9608071204612116,0.8861887214888754,0.9219906340232451,0.03352511138988623,0.11381127851112459,0.8861887214888754,0.9664748886101138,0.9664748886101138,0.9263318050494946,18999,22342,775,2440,0.0,0.0,0.0,0.0
Majority Vote,Poisoned,Hard-Case Agent,0.9132552293742706,0.9644291754756871,0.8511124586034796,0.9042344954037513,0.02911277414889475,0.14888754139652036,0.8511124586034796,0.9708872258511052,0.9708872258511052,0.9109998422272925,18247,22444,673,3192,0.01458838315827271,0.017756138619493766,0.03507626288539577,-0.004412337240991479
Global Trust Voting,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
Global Trust Voting,Poisoned,Hard-Case Agent,0.9413546997037436,0.95285288174733,0.9238304025374318,0.9381172291296626,0.042393044080114205,0.07616959746256821,0.9238304025374318,0.9576069559198858,0.9576069559198858,0.9407186792286588,19806,22137,980,1633,0.003613430289972186,0.0042699889154502735,0.011567703717524136,-0.003763464117316255
F1 Trust Voting,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
F1 Trust Voting,Poisoned,Hard-Case Agent,0.9413546997037436,0.95285288174733,0.9238304025374318,0.9381172291296626,0.042393044080114205,0.07616959746256821,0.9238304025374318,0.9576069559198858,0.9576069559198858,0.9407186792286588,19806,22137,980,1633,0.003613430289972186,0.0042699889154502735,0.011567703717524136,-0.003763464117316255
Error-Aware Trust,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
Error-Aware Trust,Poisoned,Hard-Case Agent,0.9413546997037436,0.95285288174733,0.9238304025374318,0.9381172291296626,0.042393044080114205,0.07616959746256821,0.9238304025374318,0.9576069559198858,0.9576069559198858,0.9407186792286588,19806,22137,980,1633,0.003613430289972186,0.0042699889154502735,0.011567703717524136,-0.003763464117316255
Attack Recall Trust,Clean,None,0.930379746835443,0.9215208496161096,0.9349316665889267,0.9281778189395693,0.07384176147423974,0.06506833341107328,0.9349316665889267,0.9261582385257603,0.9261582385257603,0.9305449525573435,20044,21410,1707,1395,0.0,0.0,0.0,0.0
Attack Recall Trust,Poisoned,Hard-Case Agent,0.9288311338540264,0.9315819315819316,0.919632445543169,0.9255686219280332,0.06263788553878098,0.08036755445683101,0.919632445543169,0.937362114461219,0.937362114461219,0.928497280002194,19716,21669,1448,1723,0.0015486129814166194,0.0026091970115360574,0.015299221045757733,-0.011203875935458754
FNR Penalty Trust,Clean,None,0.930379746835443,0.9215208496161096,0.9349316665889267,0.9281778189395693,0.07384176147423974,0.06506833341107328,0.9349316665889267,0.9261582385257603,0.9261582385257603,0.9305449525573435,20044,21410,1707,1395,0.0,0.0,0.0,0.0
FNR Penalty Trust,Poisoned,Hard-Case Agent,0.9288311338540264,0.9315819315819316,0.919632445543169,0.9255686219280332,0.06263788553878098,0.08036755445683101,0.919632445543169,0.937362114461219,0.937362114461219,0.928497280002194,19716,21669,1448,1723,0.0015486129814166194,0.0026091970115360574,0.015299221045757733,-0.011203875935458754
Best Safe Model Selector,Clean,None,0.9507810395906275,0.9573234483414124,0.9395960632492187,0.9483769214472353,0.038845871004023015,0.06040393675078129,0.9395960632492187,0.961154128995977,0.961154128995977,0.9503750961225979,20144,22219,898,1295,0.0,0.0,0.0,0.0
Best Safe Model Selector,Poisoned,Hard-Case Agent,0.9507810395906275,0.9573234483414124,0.9395960632492187,0.9483769214472353,0.038845871004023015,0.06040393675078129,0.9395960632492187,0.961154128995977,0.961154128995977,0.9503750961225979,20144,22219,898,1295,0.0,0.0,0.0,0.0
Best Accuracy Selector,Clean,None,0.9507810395906275,0.9573234483414124,0.9395960632492187,0.9483769214472353,0.038845871004023015,0.06040393675078129,0.9395960632492187,0.961154128995977,0.961154128995977,0.9503750961225979,20144,22219,898,1295,0.0,0.0,0.0,0.0
Best Accuracy Selector,Poisoned,Hard-Case Agent,0.9507810395906275,0.9573234483414124,0.9395960632492187,0.9483769214472353,0.038845871004023015,0.06040393675078129,0.9395960632492187,0.961154128995977,0.961154128995977,0.9503750961225979,20144,22219,898,1295,0.0,0.0,0.0,0.0
Class-Specific Trust,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
Class-Specific Trust,Poisoned,Hard-Case Agent,0.9413546997037436,0.95285288174733,0.9238304025374318,0.9381172291296626,0.042393044080114205,0.07616959746256821,0.9238304025374318,0.9576069559198858,0.9576069559198858,0.9407186792286588,19806,22137,980,1633,0.003613430289972186,0.0042699889154502735,0.011567703717524136,-0.003763464117316255
Dynamic Trust,Clean,None,0.9275518448693778,0.9528072007558804,0.8936984001119456,0.9223067295658034,0.041052039624518755,0.10630159988805447,0.8936984001119456,0.9589479603754812,0.9589479603754812,0.9263231802437134,19160,22168,949,2279,0.0,0.0,0.0,0.0
Dynamic Trust,Poisoned,Hard-Case Agent,0.9275069575365832,0.9528025065897449,0.8936051121787397,0.9222548500457325,0.041052039624518755,0.10639488782126032,0.8936051121787397,0.9589479603754812,0.9589479603754812,0.9262765362771105,19158,22168,949,2281,4.488733279461865e-05,5.187952007090768e-05,9.328793320584339e-05,0.0
Confidence-Based Trust,Clean,None,0.9295044438459467,0.9680274196848783,0.8826437800270535,0.9233659452997292,0.027036380153134056,0.1173562199729465,0.8826437800270535,0.972963619846866,0.972963619846866,0.9278036999369597,18923,22492,625,2516,0.0,0.0,0.0,0.0
Confidence-Based Trust,Poisoned,Hard-Case Agent,0.9163973426698986,0.9726254002134471,0.8501795792714213,0.9072898777968591,0.022191460829692432,0.14982042072857876,0.8501795792714213,0.9778085391703075,0.9778085391703075,0.9139940592208644,18227,22604,513,3212,0.013107101176048075,0.01607606750287005,0.032464200755632264,-0.004844919323441624
Hybrid Trust,Clean,None,0.929459556513152,0.9675457426147398,0.8830169317598768,0.9233508108767223,0.0274689622355842,0.11698306824012314,0.8830169317598768,0.9725310377644159,0.9725310377644159,0.9277739847621463,18931,22482,635,2508,0.0,0.0,0.0,0.0
Hybrid Trust,Poisoned,Hard-Case Agent,0.9159709130083491,0.9721940545444842,0.8496664956387892,0.9068100358422939,0.02253752649565255,0.15033350436121087,0.8496664956387892,0.9774624735043475,0.9774624735043475,0.9135644845715682,18216,22596,521,3223,0.013488643504802944,0.016540775034428412,0.033350436121087734,-0.004931435739931652
Attack Override Trust,Clean,None,0.8389891372654636,0.7525225703664365,0.9914175101450627,0.8556074390145721,0.3023748756326513,0.008582489854937264,0.9914175101450627,0.6976251243673487,0.6976251243673487,0.8445213172562057,21255,16127,6990,184,0.0,0.0,0.0,0.0
Attack Override Trust,Poisoned,Hard-Case Agent,0.8642607056288716,0.7908462148985222,0.9760250011660991,0.8737316798196166,0.23939092442791018,0.023974998833900835,0.9760250011660991,0.7606090755720898,0.7606090755720898,0.8683170383690945,20925,17583,5534,514,-0.025271568363407937,-0.01812424080504449,0.01539250897896357,-0.06298395120474112
Role-Aware Trust Voting,Clean,None,0.9211105126133405,0.9036209691947397,0.9358645459209851,0.9194601654331737,0.09257256564433101,0.06413545407901487,0.9358645459209851,0.907427434355669,0.907427434355669,0.921645990138327,20064,20977,2140,1375,0.0,0.0,0.0,0.0
Role-Aware Trust Voting,Poisoned,Hard-Case Agent,0.9084522847652392,0.9161472816185636,0.8913195578151966,0.9035629004421117,0.07565860622053035,0.1086804421848034,0.8913195578151966,0.9243413937794697,0.9243413937794697,0.9078304757973331,19109,21368,1749,2330,0.012658227848101333,0.01589726499106192,0.044544988105788524,-0.016913959423800667
Trust Agent Selector,Clean,None,0.9745488823054134,0.9653481230233304,0.9823685806240963,0.9737839837248012,0.03270320543323096,0.017631419375903727,0.9823685806240963,0.9672967945667691,0.9672967945667691,0.9748326875954327,21061,22361,756,378,0.0,0.0,0.0,0.0
Trust Agent Selector,Poisoned,Hard-Case Agent,0.730608672232696,0.7308896936478418,0.6966276412146089,0.7133475031643303,0.2378768871393347,0.3033723587853911,0.6966276412146089,0.7621231128606654,0.7621231128606654,0.7293753770376371,14935,17618,5499,6504,0.24394021007271738,0.260436480560471,0.28574093940948736,0.20517368170610373
Confidence-Margin Trust,Clean,None,0.9269009785438549,0.9792808941374948,0.8664116796492374,0.9193951543049471,0.017000475840290696,0.13358832035076262,0.8664116796492374,0.9829995241597093,0.9829995241597093,0.9247056019044733,18575,22724,393,2864,0.0,0.0,0.0,0.0
Confidence-Margin Trust,Poisoned,Hard-Case Agent,0.9128063560463238,0.9818820687383332,0.8341806987266197,0.9020250674602174,0.014275208720854781,0.1658193012733803,0.8341806987266197,0.9857247912791453,0.9857247912791453,0.9099527450028825,17884,22787,330,3555,0.014094622497531129,0.017370086844729737,0.03223098092261767,-0.0027252671194359143
Local Accuracy Trust,Clean,None,0.9848729688481911,0.979450473331794,0.9893185316479314,0.9843597716619483,0.019249902669031448,0.01068146835206866,0.9893185316479314,0.9807500973309685,0.9807500973309685,0.98503431448945,21210,22672,445,229,0.0,0.0,0.0,0.0
Local Accuracy Trust,Poisoned,Hard-Case Agent,0.9756935092916779,0.9772130532633159,0.9721535519380569,0.9746767367362686,0.021023489207077042,0.027846448061943186,0.9721535519380569,0.9789765107929229,0.9789765107929229,0.9755650313654899,20842,22631,486,597,0.009179459556513225,0.009683034925679679,0.017164979709874524,0.0017735865380455948
AI Trust Auditor,Clean,None,0.9275518448693778,0.9528072007558804,0.8936984001119456,0.9223067295658034,0.041052039624518755,0.10630159988805447,0.8936984001119456,0.9589479603754812,0.9589479603754812,0.9263231802437134,19160,22168,949,2279,0.0,0.0,0.0,0.0
AI Trust Auditor,Poisoned,Hard-Case Agent,0.9275069575365832,0.9528025065897449,0.8936051121787397,0.9222548500457325,0.041052039624518755,0.10639488782126032,0.8936051121787397,0.9589479603754812,0.9589479603754812,0.9262765362771105,19158,22168,949,2281,4.488733279461865e-05,5.187952007090768e-05,9.328793320584339e-05,0.0
