Dataset,Poison Mode,Poison Rate,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,ROC AUC,PR AUC,Accuracy Recovery,F1 Recovery,FNR Reduction
NSL-KDD,flip,0.3,Normal Behavior Agent,Original Agent,0.9038737768201813,0.9179497174040148,0.8787723307990112,0.8979338941448419,0.0728468226846044,0.12122766920098885,0.8787723307990112,0.9271531773153956,0.9271531773153956,0.9029627540572034,18840,21433,1684,2599,0.9677051194460138,0.9641123196450969,,,
NSL-KDD,flip,0.3,Normal Behavior Agent,Poisoned Agent,0.6600457850794506,0.6456211812627292,0.6505900461775269,0.6480960899565551,0.33118484232383094,0.3494099538224731,0.6505900461775269,0.6688151576761691,0.6688151576761691,0.6597026019268479,13948,15461,7656,7491,,,,,
NSL-KDD,flip,0.3,Normal Behavior Agent,Majority Vote,0.919045695304785,0.9568090992929603,0.8710760763095293,0.9119320262714554,0.03646666955054722,0.12892392369047065,0.8710760763095293,0.9635333304494528,0.9635333304494528,0.917304703379491,18675,22274,843,2764,,,,,
NSL-KDD,flip,0.3,Normal Behavior Agent,Majority Vote,0.919045695304785,0.9568090992929603,0.8710760763095293,0.9119320262714554,0.03646666955054722,0.12892392369047065,0.8710760763095293,0.9635333304494528,0.9635333304494528,0.917304703379491,18675,22274,843,2764,,,0.0,0.0,0.0
NSL-KDD,flip,0.3,Normal Behavior Agent,Global Trust Voting,0.9436215100098753,0.9454459872911273,0.9368907131862494,0.941148908256021,0.050136263355971794,0.06310928681375064,0.9368907131862494,0.9498637366440282,0.9498637366440282,0.9433772249151389,20086,21958,1159,1353,,,0.024575814705090293,0.029216881984565624,0.06581463687672001
NSL-KDD,flip,0.3,Normal Behavior Agent,F1 Trust Voting,0.9436215100098753,0.9454459872911273,0.9368907131862494,0.941148908256021,0.050136263355971794,0.06310928681375064,0.9368907131862494,0.9498637366440282,0.9498637366440282,0.9433772249151389,20086,21958,1159,1353,,,0.024575814705090293,0.029216881984565624,0.06581463687672001
NSL-KDD,flip,0.3,Normal Behavior Agent,Error-Aware Trust,0.9436215100098753,0.9454459872911273,0.9368907131862494,0.941148908256021,0.050136263355971794,0.06310928681375064,0.9368907131862494,0.9498637366440282,0.9498637366440282,0.9433772249151389,20086,21958,1159,1353,,,0.024575814705090293,0.029216881984565624,0.06581463687672001
NSL-KDD,flip,0.3,Normal Behavior Agent,Attack Recall Trust,0.9067241224526439,0.8719814041582369,0.9448668314753487,0.9069621670024625,0.1286499113206731,0.05513316852465134,0.9448668314753487,0.871350088679327,0.871350088679327,0.9081084600773378,20257,20143,2974,1182,,,-0.012321572852141083,-0.00496985926899296,0.07379075516581932
NSL-KDD,flip,0.3,Normal Behavior Agent,FNR Penalty Trust,0.9067241224526439,0.8719814041582369,0.9448668314753487,0.9069621670024625,0.1286499113206731,0.05513316852465134,0.9448668314753487,0.871350088679327,0.871350088679327,0.9081084600773378,20257,20143,2974,1182,,,-0.012321572852141083,-0.00496985926899296,0.07379075516581932
NSL-KDD,flip,0.3,Normal Behavior Agent,Best Safe Model Selector,0.9507810395906275,0.9573234483414124,0.9395960632492187,0.9483769214472353,0.038845871004023015,0.06040393675078129,0.9395960632492187,0.961154128995977,0.961154128995977,0.9503750961225979,20144,22219,898,1295,,,0.03173534428584257,0.03644489517577987,0.06851998693968936
NSL-KDD,flip,0.3,Normal Behavior Agent,Best Accuracy Selector,0.9507810395906275,0.9573234483414124,0.9395960632492187,0.9483769214472353,0.038845871004023015,0.06040393675078129,0.9395960632492187,0.961154128995977,0.961154128995977,0.9503750961225979,20144,22219,898,1295,,,0.03173534428584257,0.03644489517577987,0.06851998693968936
NSL-KDD,flip,0.3,Normal Behavior Agent,Class-Specific Trust,0.9436215100098753,0.9454459872911273,0.9368907131862494,0.941148908256021,0.050136263355971794,0.06310928681375064,0.9368907131862494,0.9498637366440282,0.9498637366440282,0.9433772249151389,20086,21958,1159,1353,,,0.024575814705090293,0.029216881984565624,0.06581463687672001
NSL-KDD,flip,0.3,Normal Behavior Agent,Dynamic Trust,0.9356988957716132,0.9307513914656772,0.9360044778207939,0.9333705435010117,0.06458450490980663,0.06399552217920612,0.9360044778207939,0.9354154950901934,0.9354154950901934,0.9357099864554936,20067,21624,1493,1372,,,0.016653200466828277,0.021438517229556253,0.06492840151126453
NSL-KDD,flip,0.3,Normal Behavior Agent,Confidence-Based Trust,0.9194721249663345,0.9720239039610767,0.857316106161668,0.9110736591652622,0.022883592161612665,0.14268389383833202,0.857316106161668,0.9771164078383874,0.9771164078383874,0.9172162570000277,18380,22588,529,3059,,,0.0004264296615494878,-0.0008583671061932474,-0.013759970147861372
NSL-KDD,flip,0.3,Normal Behavior Agent,Hybrid Trust,0.9193150193015531,0.9715146390444984,0.8574560380614767,0.9109288669755456,0.02331617424406281,0.14254396193852326,0.8574560380614767,0.9766838257559372,0.9766838257559372,0.917069931908707,18383,22578,539,3056,,,0.000269323996768156,-0.0010031592959097724,-0.013620038248052607
NSL-KDD,flip,0.3,Normal Behavior Agent,Attack Override Trust,0.8387198132686956,0.7527755116518284,0.9899249032137692,0.8552143778207608,0.301509711467751,0.0100750967862307,0.9899249032137692,0.698490288532249,0.698490288532249,0.8442075958730091,21223,16147,6970,216,,,-0.08032588203608937,-0.0567176484506946,0.11884882690423995
NSL-KDD,flip,0.3,Normal Behavior Agent,Role-Aware Trust Voting,0.8988015082143819,0.859295415959253,0.9443071038761136,0.8997977732838508,0.14340096033222305,0.05569289612388637,0.9443071038761136,0.856599039667777,0.856599039667777,0.9004530717719452,20245,19802,3315,1194,,,-0.0202441870904031,-0.012134252987604621,0.07323102756658428
NSL-KDD,flip,0.3,Normal Behavior Agent,Trust Agent Selector,0.9712272196786067,0.9597226656935638,0.9813890573254349,0.9704349430376827,0.0381969978803478,0.018610942674565045,0.9813890573254349,0.9618030021196522,0.9618030021196522,0.9715960297225436,21040,22234,883,399,,,0.05218152437382173,0.05850291676622732,0.1103129810159056
NSL-KDD,flip,0.3,Normal Behavior Agent,Confidence-Margin Trust,0.9159933566747464,0.9831804281345565,0.8397779747189701,0.9058388468214637,0.013323528139464464,0.1602220252810299,0.8397779747189701,0.9866764718605355,0.9866764718605355,0.9132272232897528,18004,22809,308,3435,,,-0.00305233863003862,-0.00609317944999177,-0.03129810159055926
NSL-KDD,flip,0.3,Normal Behavior Agent,Local Accuracy Trust,0.9802046862375438,0.9727703417506095,0.9864732496851533,0.9795738767948124,0.025608859281048578,0.013526750314846774,0.9864732496851533,0.9743911407189514,0.9743911407189514,0.9804321952020523,21149,22525,592,290,,,0.06115899093275878,0.06764185052335703,0.11539717337562387
NSL-KDD,flip,0.3,Normal Behavior Agent,AI Trust Auditor,0.9356988957716132,0.9307513914656772,0.9360044778207939,0.9333705435010117,0.06458450490980663,0.06399552217920612,0.9360044778207939,0.9354154950901934,0.9354154950901934,0.9357099864554936,20067,21624,1493,1372,,,0.016653200466828277,0.021438517229556253,0.06492840151126453
