Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Majority Vote,Clean,None,0.9278436125325433,0.9608071204612116,0.8861887214888754,0.9219906340232451,0.03352511138988623,0.11381127851112459,0.8861887214888754,0.9664748886101138,0.9664748886101138,0.9263318050494946,18999,22342,775,2440,0.0,0.0,0.0,0.0
Majority Vote,Poisoned,Normal Behavior Agent,0.919045695304785,0.9568090992929603,0.8710760763095293,0.9119320262714554,0.03646666955054722,0.12892392369047065,0.8710760763095293,0.9635333304494528,0.9635333304494528,0.917304703379491,18675,22274,843,2764,0.008797917227758356,0.010058607751789683,0.01511264517934606,0.0029415581606609884
Global Trust Voting,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
Global Trust Voting,Poisoned,Normal Behavior Agent,0.9436215100098753,0.9454459872911273,0.9368907131862494,0.941148908256021,0.050136263355971794,0.06310928681375064,0.9368907131862494,0.9498637366440282,0.9498637366440282,0.9433772249151389,20086,21958,1159,1353,0.001346619983840558,0.001238309789091785,-0.0014926069312934387,0.003979755158541334
F1 Trust Voting,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
F1 Trust Voting,Poisoned,Normal Behavior Agent,0.9436215100098753,0.9454459872911273,0.9368907131862494,0.941148908256021,0.050136263355971794,0.06310928681375064,0.9368907131862494,0.9498637366440282,0.9498637366440282,0.9433772249151389,20086,21958,1159,1353,0.001346619983840558,0.001238309789091785,-0.0014926069312934387,0.003979755158541334
Error-Aware Trust,Clean,None,0.9449681299937158,0.9494815586383221,0.9353981062549559,0.9423872180451128,0.04615650819743046,0.06460189374504408,0.9353981062549559,0.9538434918025696,0.9538434918025696,0.9446207990287627,20054,22050,1067,1385,0.0,0.0,0.0,0.0
Error-Aware Trust,Poisoned,Normal Behavior Agent,0.9436215100098753,0.9454459872911273,0.9368907131862494,0.941148908256021,0.050136263355971794,0.06310928681375064,0.9368907131862494,0.9498637366440282,0.9498637366440282,0.9433772249151389,20086,21958,1159,1353,0.001346619983840558,0.001238309789091785,-0.0014926069312934387,0.003979755158541334
Attack Recall Trust,Clean,None,0.930379746835443,0.9215208496161096,0.9349316665889267,0.9281778189395693,0.07384176147423974,0.06506833341107328,0.9349316665889267,0.9261582385257603,0.9261582385257603,0.9305449525573435,20044,21410,1707,1395,0.0,0.0,0.0,0.0
Attack Recall Trust,Poisoned,Normal Behavior Agent,0.9067241224526439,0.8719814041582369,0.9448668314753487,0.9069621670024625,0.1286499113206731,0.05513316852465134,0.9448668314753487,0.871350088679327,0.871350088679327,0.9081084600773378,20257,20143,2974,1182,0.023655624382799112,0.02121565193710684,-0.009935164886421939,0.05480814984643337
