Dataset,Trust Method,Scenario,Poisoned Agent,Accuracy,F1-Score,FPR,FNR,Accuracy Drop,F1 Drop,FPR Increase,FNR Increase,Status
UNSW-NB15,Majority Vote,Clean,None,0.8382524413350824,0.8695882093717867,0.3347027027027027,0.0205814876908144,0.0,0.0,0.0,0.0,available
UNSW-NB15,Majority Vote,Poisoned,General Traffic Agent,0.8560826895982121,0.879481676617472,0.2635405405405405,0.0462807729639107,-0.0178302482631297,-0.0098934672456852,-0.0711621621621621,0.0256992852730962,available
UNSW-NB15,Majority Vote,Poisoned,Attack Recall Agent,0.856483505805762,0.8797206783525723,0.262027027027027,0.0467881408276714,-0.0182310644706796,-0.0101324689807855,-0.0726756756756756,0.0262066531368569,available
UNSW-NB15,Majority Vote,Poisoned,Normal Behavior Agent,0.8541879220716125,0.8804747159967742,0.2943243243243243,0.0245963116562251,-0.0159354807365301,-0.0108865066249874,-0.0403783783783783,0.0040148239654107,available
UNSW-NB15,Majority Vote,Poisoned,Hard-Case Agent,0.8210780741388525,0.8560089927178535,0.3563783783783784,0.0340818847613165,0.0171743671962298,0.0135792166539332,0.0216756756756756,0.013500397070502,available
UNSW-NB15,Global Trust Voting,Clean,None,0.8083855608997716,0.8513689208795764,0.4223513513513514,0.0032868613782758,0.0,0.0,0.0,0.0,available
UNSW-NB15,Global Trust Voting,Poisoned,General Traffic Agent,0.841908370985765,0.8725470996044025,0.3307567567567567,0.017162269478514,-0.0335228100859933,-0.021178178724826,-0.0915945945945946,0.0138754081002382,available
UNSW-NB15,Global Trust Voting,Poisoned,Attack Recall Agent,0.8425035223242482,0.8729136651867533,0.3288648648648649,0.0176255183975999,-0.0341179614244765,-0.0215447443071769,-0.0934864864864865,0.014338657019324,available
UNSW-NB15,Global Trust Voting,Poisoned,Normal Behavior Agent,0.8083855608997716,0.8513689208795764,0.4223513513513514,0.0032868613782758,0.0,0.0,0.0,0.0,available
UNSW-NB15,Global Trust Voting,Poisoned,Hard-Case Agent,0.8078875771267551,0.8510149295907314,0.4232162162162162,0.0034853966293126,0.0004979837730165,0.0003539912888449,0.0008648648648648,0.0001985352510367,available
UNSW-NB15,Dynamic Trust,Clean,None,0.8175436039450031,0.8571700230094891,0.3990810810810811,0.0056472249183799,0.0,0.0,0.0,0.0,available
UNSW-NB15,Dynamic Trust,Poisoned,General Traffic Agent,0.8484550357090803,0.8770290647822359,0.3145405405405405,0.0185078972910968,-0.0309114317640771,-0.0198590417727467,-0.0845405405405405,0.0128606723727168,available
UNSW-NB15,Dynamic Trust,Poisoned,Attack Recall Agent,0.8487465384054802,0.8771905602508852,0.3133783783783784,0.0189270272655078,-0.031202934460477,-0.020020537241396,-0.0857027027027027,0.0132798023471278,available
UNSW-NB15,Dynamic Trust,Poisoned,Normal Behavior Agent,0.8374872467570325,0.8710311722861604,0.3575945945945946,0.0032868613782758,-0.0199436428120293,-0.0138611492766713,-0.0414864864864865,-0.0023603635401041,available
UNSW-NB15,Dynamic Trust,Poisoned,Hard-Case Agent,0.8100738473497546,0.852549293251233,0.4192162162162162,0.0027794935145151,0.0074697565952485,0.0046207297582561,0.0201351351351351,-0.0028677314038648,available
UNSW-NB15,Trust Agent Selector,Clean,None,0.8175314579993198,0.8572921317361857,0.4004054054054054,0.0045883702461837,0.0,0.0,0.0,0.0,available
UNSW-NB15,Trust Agent Selector,Poisoned,General Traffic Agent,0.8172399553029199,0.8569771973347781,0.3998648648648649,0.0055589870290302,0.0002915026963998,0.0003149344014076,-0.0005405405405405,0.0009706167828465,available
UNSW-NB15,Trust Agent Selector,Poisoned,Attack Recall Agent,0.7516397026672497,0.8129288419665892,0.5282432432432432,0.0199197035206917,0.0658917553320701,0.0443632897695964,0.1278378378378378,0.015331333274508,available
UNSW-NB15,Trust Agent Selector,Poisoned,Normal Behavior Agent,0.8172642471942866,0.8570478407525298,0.4003513513513513,0.0051177975822818,0.0002672108050332,0.0002442909836558,-5.405405405406461e-05,0.0005294273360981,available
UNSW-NB15,Trust Agent Selector,Poisoned,Hard-Case Agent,0.7322061895739203,0.7980212532063027,0.5478918918918919,0.0391776228712609,0.0853252684253995,0.059270878529883,0.1474864864864865,0.0345892526250772,available
UNSW-NB15,AI Trust Auditor,Clean,None,0.8175436039450031,0.8571700230094891,0.3990810810810811,0.0056472249183799,0.0,0.0,0.0,0.0,available
UNSW-NB15,AI Trust Auditor,Poisoned,General Traffic Agent,0.8484550357090803,0.8770290647822359,0.3145405405405405,0.0185078972910968,-0.0309114317640771,-0.0198590417727467,-0.0845405405405405,0.0128606723727168,available
UNSW-NB15,AI Trust Auditor,Poisoned,Attack Recall Agent,0.8487465384054802,0.8771905602508852,0.3133783783783784,0.0189270272655078,-0.031202934460477,-0.020020537241396,-0.0857027027027027,0.0132798023471278,available
UNSW-NB15,AI Trust Auditor,Poisoned,Normal Behavior Agent,0.8374872467570325,0.8710311722861604,0.3575945945945946,0.0032868613782758,-0.0199436428120293,-0.0138611492766713,-0.0414864864864865,-0.0023603635401041,available
UNSW-NB15,AI Trust Auditor,Poisoned,Hard-Case Agent,0.8100738473497546,0.852549293251233,0.4192162162162162,0.0027794935145151,0.0074697565952485,0.0046207297582561,0.0201351351351351,-0.0028677314038648,available
