Dataset,Category,Method,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Improvement vs Best Single Agent Accuracy,Improvement vs Best Single Agent F1,Improvement vs Best Single Agent Recall,FNR Reduction vs Best Single Agent,Notes
UNSW-NB15,Single Agent,General Traffic Agent,0.8076325122674052,0.7428049262381454,0.9952130945027795,0.8506806954029491,0.4221891891891892,0.004786905497220506,0.5778108108108108,0.7865119526567952,-0.11361317592187725,-0.07941094880190269,0.04372187417276985,0.043721874172769785,Single-agent metric row
UNSW-NB15,Single Agent,Attack Recall Agent,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.5747837837837838,0.7864543643175514,-0.11337025700821068,-0.07888011587314891,0.04663372452130954,0.04663372452130945,Single-agent metric row
UNSW-NB15,Single Agent,Normal Behavior Agent,0.7614779186707477,0.7208223039636976,0.9250860319421159,0.8102792000772873,0.438972972972973,0.07491396805788406,0.561027027027027,0.7430565294845715,-0.15976776951853477,-0.11981244412756453,-0.02640518838789374,-0.026405188387893762,Single-agent metric row
UNSW-NB15,Single Agent,Hard-Case Agent,0.9212456881892824,0.9096334725209836,0.9514912203300097,0.9300916442048518,0.11581081081081081,0.048508779669990294,0.8841891891891892,0.9178402047595995,0.0,0.0,0.0,0.0,Best single agent baseline
UNSW-NB15,Trust Method,Majority Voting,0.8382524413350824,0.7819065565398094,0.9794185123091856,0.8695882093717867,0.3347027027027027,0.0205814876908144,0.6652972972972973,0.8223579048032414,-0.08299324685420006,-0.060503434833065084,0.027927291979175983,0.027927291979175893,Trust aggregation method
UNSW-NB15,Trust Method,Global Trust Voting,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758,0.5776486486486486,0.7871808936351864,-0.11286012728951078,-0.07872272332527541,0.045221918291714513,0.04522191829171449,Trust aggregation method
UNSW-NB15,Trust Method,Attack Recall Trust,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758,0.5776486486486486,0.7871808936351864,-0.11286012728951078,-0.07872272332527541,0.045221918291714513,0.04522191829171449,Trust aggregation method
UNSW-NB15,Trust Method,Role-Aware Trust Voting,0.8374751008113491,0.7802571794466958,0.9811391511515044,0.8692431719353105,0.3385405405405405,0.0188608488484955,0.6614594594594595,0.821299305305482,-0.0837705873779333,-0.060848472269541265,0.02964793082149475,0.029647930821494795,Trust aggregation method
UNSW-NB15,Trust Method,Disagreement-aware Selector,0.9202254287518826,0.9078875373542658,0.951667696108709,0.9292622509423801,0.1182972972972973,0.04833230389129092,0.8817027027027027,0.9166851994057059,-0.0010202594373998064,-0.0008293932624716671,0.00017647577869939202,0.0001764757786993712,Selector ablation metric row
UNSW-NB15,Trust Method,Hard-Case Guarded Selector,0.8739372297527086,0.8316664452583835,0.9667122562428306,0.8941188472328487,0.23972972972972972,0.03328774375716933,0.7602702702702703,0.8634912632565505,-0.04730845843657383,-0.03597279697200306,0.01522103591282098,0.015221035912820965,Selector ablation metric row
UNSW-NB15,Trust Method,Trust Agent Selector,0.8175314579993198,0.7528320459133452,0.9954116297538164,0.8572921317361857,0.4004054054054054,0.0045883702461837,0.5995945945945946,0.7975031121742054,-0.10371423018996262,-0.07279951246866612,0.043920409423806706,0.043920409423806595,Trust aggregation method
UNSW-NB15,Trust Method,Best 4-Agent Trust Method,0.8382524413350824,0.7819065565398094,0.9794185123091856,0.8695882093717867,0.3347027027027027,0.0205814876908144,0.6652972972972973,0.8223579048032414,-0.08299324685420006,-0.060503434833065084,0.027927291979175983,0.027927291979175893,Best trust row from four_agent_trust_results
UNSW-NB15,Oracle,Oracle,0.9584487198173249,,,,,,,,0.037203031628042504,,,,Theoretical upper bound among four agents
