Dataset,Category,Method,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Improvement vs Best Single Agent Accuracy,Improvement vs Best Single Agent F1,Improvement vs Best Single Agent Recall,FNR Reduction vs Best Single Agent,Notes
UNSW-NB15,Single Agent,General Traffic Agent,80.77%,74.28%,99.53%,85.07%,42.22%,0.47%,57.78%,78.66%,-11.35 pts,-7.93 pts,+4.39 pts,+4.39 pts,Single-agent metric row
UNSW-NB15,Single Agent,Attack Recall Agent,80.79%,74.20%,99.81%,85.12%,42.52%,0.19%,57.48%,78.65%,-11.34 pts,-7.89 pts,+4.66 pts,+4.66 pts,Single-agent metric row
UNSW-NB15,Single Agent,Normal Behavior Agent,76.15%,72.08%,92.51%,81.03%,43.90%,7.49%,56.10%,74.30%,-15.98 pts,-11.98 pts,-2.64 pts,-2.64 pts,Single-agent metric row
UNSW-NB15,Single Agent,Hard-Case Agent,92.12%,90.96%,95.15%,93.01%,11.58%,4.85%,88.42%,91.78%,+0.00 pts,+0.00 pts,+0.00 pts,+0.00 pts,Best single agent baseline
UNSW-NB15,Trust Method,Majority Voting,83.83%,78.19%,97.95%,86.96%,33.48%,2.05%,66.52%,82.24%,-8.30 pts,-6.05 pts,+2.80 pts,+2.80 pts,Trust aggregation method
UNSW-NB15,Trust Method,Global Trust Voting,80.84%,74.30%,99.68%,85.14%,42.24%,0.32%,57.76%,78.72%,-11.28 pts,-7.87 pts,+4.53 pts,+4.53 pts,Trust aggregation method
UNSW-NB15,Trust Method,Attack Recall Trust,80.84%,74.30%,99.68%,85.14%,42.24%,0.32%,57.76%,78.72%,-11.28 pts,-7.87 pts,+4.53 pts,+4.53 pts,Trust aggregation method
UNSW-NB15,Trust Method,Role-Aware Trust Voting,83.75%,78.02%,98.12%,86.93%,33.86%,1.88%,66.14%,82.13%,-8.37 pts,-6.08 pts,+2.97 pts,+2.97 pts,Trust aggregation method
UNSW-NB15,Trust Method,Disagreement-aware Selector,92.02%,90.79%,95.17%,92.93%,11.83%,4.83%,88.17%,91.67%,-0.10 pts,-0.08 pts,+0.02 pts,+0.02 pts,Selector ablation metric row
UNSW-NB15,Trust Method,Hard-Case Guarded Selector,87.39%,83.17%,96.67%,89.41%,23.97%,3.33%,76.03%,86.35%,-4.73 pts,-3.60 pts,+1.52 pts,+1.52 pts,Selector ablation metric row
UNSW-NB15,Trust Method,Best 4-Agent Trust Method,83.83%,78.19%,97.95%,86.96%,33.48%,2.05%,66.52%,82.24%,-8.30 pts,-6.05 pts,+2.80 pts,+2.80 pts,Best trust row from four_agent_trust_results
UNSW-NB15,Oracle,Oracle,95.84%,,,,,,,,+3.72 pts,,,,Theoretical upper bound among four agents
