stage,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Improvement vs Best Agent Accuracy,Improvement vs Best Agent F1,Improvement vs Best Agent Recall,FNR Reduction vs Best Agent
Hard-Case Only,0.9212456881892824,0.9096334725209836,0.9514912203300097,0.9300916442048518,0.11581081081081081,0.048508779669990294,0.8841891891891892,0.9178402047595995,0.0,0.0,0.0,0.0
Majority Voting,0.8382524413350824,0.7819065565398094,0.9794185123091856,0.8695882093717867,0.3347027027027027,0.0205814876908144,0.6652972972972973,0.8223579048032414,-0.0829932468542,-0.060503434833065,0.0279272919791758,0.0279272919791758
Global Trust Voting,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758,0.5776486486486486,0.7871808936351864,-0.1128601272895107,-0.0787227233252754,0.0452219182917145,0.0452219182917144
Attack Recall Trust,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758,0.5776486486486486,0.7871808936351864,-0.1128601272895107,-0.0787227233252754,0.0452219182917145,0.0452219182917144
Role-Aware Trust Voting,0.8374751008113491,0.7802571794466958,0.9811391511515044,0.8692431719353105,0.3385405405405405,0.0188608488484955,0.6614594594594595,0.821299305305482,-0.0837705873779333,-0.0608484722695412,0.0296479308214947,0.0296479308214947
Trust Agent Selector,0.8175314579993198,0.7528320459133452,0.9954116297538164,0.8572921317361857,0.4004054054054054,0.0045883702461837,0.5995945945945946,0.7975031121742054,-0.1037142301899626,-0.0727995124686661,0.0439204094238065,0.0439204094238065
AI Trust Auditor,0.8382524413350824,0.7819065565398094,0.9794185123091856,0.8695882093717867,0.3347027027027027,0.0205814876908144,0.6652972972972973,0.8223579048032414,-0.0829932468542,-0.060503434833065,0.0279272919791758,0.0279272919791758
Best 4-Agent Trust Method,0.8382524413350824,0.7819065565398094,0.9794185123091856,0.8695882093717867,0.3347027027027027,0.0205814876908144,0.6652972972972973,0.8223579048032414,-0.0829932468542,-0.060503434833065,0.0279272919791758,0.0279272919791758
Disagreement-aware Selector,0.9202254287518826,0.9078875373542658,0.951667696108709,0.9292622509423801,0.1182972972972973,0.04833230389129092,0.8817027027027027,0.9166851994057059,-0.0010202594373998064,-0.0008293932624716671,0.00017647577869939202,0.0001764757786993712
Hard-Case Guarded Selector,0.8739372297527086,0.8316664452583835,0.9667122562428306,0.8941188472328487,0.23972972972972972,0.03328774375716933,0.7602702702702703,0.8634912632565505,-0.04730845843657383,-0.03597279697200306,0.01522103591282098,0.015221035912820965
