Dataset,Poison Mode,Poison Rate,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,ROC AUC,PR AUC,Accuracy Recovery,F1 Recovery,FNR Reduction
UNSW-NB15,flip,0.3,Attack Recall Agent,Original Agent,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.9981249448513192,0.5747837837837838,0.5747837837837838,0.7864543643175514,45247,21267,15733,85,0.9070177450568897,0.891435791270414,,,
UNSW-NB15,flip,0.3,Attack Recall Agent,Poisoned Agent,0.6252611378321916,0.6472251032070445,0.7020647666107827,0.6735305010316914,0.46883783783783783,0.29793523338921735,0.7020647666107827,0.5311621621621622,0.5311621621621622,0.6166134643864725,31826,19653,17347,13506,,,,,
UNSW-NB15,flip,0.3,Attack Recall Agent,Majority Vote,0.856483505805762,0.8167504630854724,0.9532118591723286,0.8797206783525723,0.262027027027027,0.0467881408276714,0.9532118591723286,0.7379729729729729,0.7379729729729729,0.8455924160726508,43211,27305,9695,2121,,,,,
UNSW-NB15,flip,0.3,Attack Recall Agent,Majority Vote,0.856483505805762,0.8167504630854724,0.9532118591723286,0.8797206783525723,0.262027027027027,0.0467881408276714,0.9532118591723286,0.7379729729729729,0.7379729729729729,0.8455924160726508,43211,27305,9695,2121,,,0.0,0.0,0.0
UNSW-NB15,flip,0.3,Attack Recall Agent,Global Trust Voting,0.8425035223242482,0.7854006102185147,0.9823744816024,0.8729136651867533,0.3288648648648649,0.01762551839759993,0.9823744816024,0.6711351351351351,0.6711351351351351,0.8267548083687676,44533,24832,12168,799,,,-0.013979983481513858,-0.006807013165818998,0.029162622430071474
UNSW-NB15,flip,0.3,Attack Recall Agent,F1 Trust Voting,0.8425035223242482,0.7854006102185147,0.9823744816024,0.8729136651867533,0.3288648648648649,0.01762551839759993,0.9823744816024,0.6711351351351351,0.6711351351351351,0.8267548083687676,44533,24832,12168,799,,,-0.013979983481513858,-0.006807013165818998,0.029162622430071474
UNSW-NB15,flip,0.3,Attack Recall Agent,Error-Aware Trust,0.8425035223242482,0.7854006102185147,0.9823744816024,0.8729136651867533,0.3288648648648649,0.01762551839759993,0.9823744816024,0.6711351351351351,0.6711351351351351,0.8267548083687676,44533,24832,12168,799,,,-0.013979983481513858,-0.006807013165818998,0.029162622430071474
UNSW-NB15,flip,0.3,Attack Recall Agent,Attack Recall Trust,0.8425035223242482,0.7854006102185147,0.9823744816024,0.8729136651867533,0.3288648648648649,0.01762551839759993,0.9823744816024,0.6711351351351351,0.6711351351351351,0.8267548083687676,44533,24832,12168,799,,,-0.013979983481513858,-0.006807013165818998,0.029162622430071474
UNSW-NB15,flip,0.3,Attack Recall Agent,FNR Penalty Trust,0.8003692367487732,0.7359781792049129,0.9940218829965587,0.8457553632763378,0.43689189189189187,0.0059781170034412775,0.9940218829965587,0.5631081081081081,0.5631081081081081,0.7785649955523334,45061,20835,16165,271,,,-0.0561142690569888,-0.03396531507623446,0.04081002382423012
UNSW-NB15,flip,0.3,Attack Recall Agent,Best Safe Model Selector,0.6252611378321916,0.6472251032070445,0.7020647666107827,0.6735305010316914,0.46883783783783783,0.29793523338921735,0.7020647666107827,0.5311621621621622,0.5311621621621622,0.6166134643864725,31826,19653,17347,13506,,,-0.23122236797357043,-0.20619017732088085,-0.25114709256154594
