Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Majority Vote,Clean,None,0.8382524413350824,0.7819065565398094,0.9794185123091855,0.8695882093717867,0.3347027027027027,0.020581487690814436,0.9794185123091855,0.6652972972972973,0.6652972972972973,0.8223579048032414,44399,24616,12384,933,0.0,0.0,0.0,0.0
Majority Vote,Poisoned,Attack Recall Agent,0.856483505805762,0.8167504630854724,0.9532118591723286,0.8797206783525723,0.262027027027027,0.0467881408276714,0.9532118591723286,0.7379729729729729,0.7379729729729729,0.8455924160726508,43211,27305,9695,2121,-0.01823106447067968,-0.01013246898078557,0.026206653136856967,-0.07267567567567568
Global Trust Voting,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Global Trust Voting,Poisoned,Attack Recall Agent,0.8425035223242482,0.7854006102185147,0.9823744816024,0.8729136651867533,0.3288648648648649,0.01762551839759993,0.9823744816024,0.6711351351351351,0.6711351351351351,0.8267548083687676,44533,24832,12168,799,-0.03411796142447654,-0.0215447443071769,0.014338657019324097,-0.0934864864864865
F1 Trust Voting,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
F1 Trust Voting,Poisoned,Attack Recall Agent,0.8425035223242482,0.7854006102185147,0.9823744816024,0.8729136651867533,0.3288648648648649,0.01762551839759993,0.9823744816024,0.6711351351351351,0.6711351351351351,0.8267548083687676,44533,24832,12168,799,-0.03411796142447654,-0.0215447443071769,0.014338657019324097,-0.0934864864864865
Error-Aware Trust,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Error-Aware Trust,Poisoned,Attack Recall Agent,0.8425035223242482,0.7854006102185147,0.9823744816024,0.8729136651867533,0.3288648648648649,0.01762551839759993,0.9823744816024,0.6711351351351351,0.6711351351351351,0.8267548083687676,44533,24832,12168,799,-0.03411796142447654,-0.0215447443071769,0.014338657019324097,-0.0934864864864865
Attack Recall Trust,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Attack Recall Trust,Poisoned,Attack Recall Agent,0.8425035223242482,0.7854006102185147,0.9823744816024,0.8729136651867533,0.3288648648648649,0.01762551839759993,0.9823744816024,0.6711351351351351,0.6711351351351351,0.8267548083687676,44533,24832,12168,799,-0.03411796142447654,-0.0215447443071769,0.014338657019324097,-0.0934864864864865
FNR Penalty Trust,Clean,None,0.8067215663411553,0.740551766995372,0.9989411453278038,0.8505554981639917,0.4287837837837838,0.001058854672196241,0.9989411453278038,0.5712162162162162,0.5712162162162162,0.78507868077201,45284,21135,15865,48,0.0,0.0,0.0,0.0
FNR Penalty Trust,Poisoned,Attack Recall Agent,0.8003692367487732,0.7359781792049129,0.9940218829965587,0.8457553632763378,0.43689189189189187,0.0059781170034412775,0.9940218829965587,0.5631081081081081,0.5631081081081081,0.7785649955523334,45061,20835,16165,271,0.006352329592382078,0.004800134887653851,0.004919262331245036,0.00810810810810808
Best Safe Model Selector,Clean,None,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.9981249448513192,0.5747837837837838,0.5747837837837838,0.7864543643175514,45247,21267,15733,85,0.0,0.0,0.0,0.0
Best Safe Model Selector,Poisoned,Attack Recall Agent,0.6252611378321916,0.6472251032070445,0.7020647666107827,0.6735305010316914,0.46883783783783783,0.29793523338921735,0.7020647666107827,0.5311621621621622,0.5311621621621622,0.6166134643864725,31826,19653,17347,13506,0.18261429334888013,0.17768102730001145,0.2960601782405365,0.04362162162162164
Best Accuracy Selector,Clean,None,0.8076325122674052,0.7428049262381454,0.9952130945027795,0.8506806954029491,0.4221891891891892,0.004786905497220506,0.9952130945027795,0.5778108108108108,0.5778108108108108,0.7865119526567952,45115,21379,15621,217,0.0,0.0,0.0,0.0
Best Accuracy Selector,Poisoned,Attack Recall Agent,0.8076325122674052,0.7428049262381454,0.9952130945027795,0.8506806954029491,0.4221891891891892,0.004786905497220506,0.9952130945027795,0.5778108108108108,0.5778108108108108,0.7865119526567952,45115,21379,15621,217,0.0,0.0,0.0,0.0
Class-Specific Trust,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Class-Specific Trust,Poisoned,Attack Recall Agent,0.8425035223242482,0.7854006102185147,0.9823744816024,0.8729136651867533,0.3288648648648649,0.01762551839759993,0.9823744816024,0.6711351351351351,0.6711351351351351,0.8267548083687676,44533,24832,12168,799,-0.03411796142447654,-0.0215447443071769,0.014338657019324097,-0.0934864864864865
Dynamic Trust,Clean,None,0.8175436039450031,0.7532502255940644,0.99435277508162,0.8571700230094891,0.3990810810810811,0.005647224918379952,0.99435277508162,0.6009189189189189,0.6009189189189189,0.7976358470002695,45076,22234,14766,256,0.0,0.0,0.0,0.0
Dynamic Trust,Poisoned,Attack Recall Agent,0.8487465384054802,0.7932012341935829,0.9810729727344922,0.8771905602508852,0.3133783783783784,0.01892702726550781,0.9810729727344922,0.6866216216216217,0.6866216216216217,0.833847297178057,44474,25405,11595,858,-0.03120293446047706,-0.020020537241396075,0.013279802347127858,-0.0857027027027027
Confidence-Based Trust,Clean,None,0.8730870135548754,0.8319471670821993,0.9642857142857143,0.8932413793103449,0.23864864864864865,0.03571428571428571,0.9642857142857143,0.7613513513513513,0.7613513513513513,0.8628185328185328,43713,28170,8830,1619,0.0,0.0,0.0,0.0
Confidence-Based Trust,Poisoned,Attack Recall Agent,0.8772652188699412,0.8580052440090246,0.9311965057795818,0.8931038495308418,0.1888108108108108,0.06880349422041825,0.9311965057795818,0.8111891891891891,0.8111891891891891,0.8711928474843855,42213,30014,6986,3119,-0.004178205315065853,0.0001375297795030983,0.033089208506132534,-0.04983783783783785
Hybrid Trust,Clean,None,0.873111305446242,0.8318651420308606,0.964484249536751,0.89327925958464,0.23883783783783782,0.03551575046324892,0.964484249536751,0.7611621621621621,0.7611621621621621,0.8628232058494566,43722,28163,8837,1610,0.0,0.0,0.0,0.0
Hybrid Trust,Poisoned,Attack Recall Agent,0.8772773648156246,0.8579062868289511,0.9313729815582811,0.8931313857804667,0.189,0.06862701844171887,0.9313729815582811,0.811,0.811,0.8711864907791406,42221,30007,6993,3111,-0.004166059369382524,0.0001478738041733596,0.03311126797846995,-0.04983783783783782
Attack Override Trust,Clean,None,0.7543968323373658,0.6919126301147914,0.9985661342980676,0.8174258498487653,0.5447567567567567,0.0014338657019324099,0.9985661342980676,0.4552432432432432,0.4552432432432432,0.7269046887706554,45267,16844,20156,65,0.0,0.0,0.0,0.0
Attack Override Trust,Poisoned,Attack Recall Agent,0.7544454161200991,0.6919725436839772,0.9984999558810553,0.8174454828660436,0.5445675675675675,0.001500044118944675,0.9984999558810553,0.4554324324324324,0.4554324324324324,0.7269661941567439,45264,16851,20149,68,-4.858378273331354e-05,-1.9633017278253284e-05,6.617841701226507e-05,-0.00018918918918919836
Role-Aware Trust Voting,Clean,None,0.8374751008113491,0.7802571794466958,0.9811391511515044,0.8692431719353105,0.33854054054054056,0.018860848848495544,0.9811391511515044,0.6614594594594595,0.6614594594594595,0.821299305305482,44477,24474,12526,855,0.0,0.0,0.0,0.0
Role-Aware Trust Voting,Poisoned,Attack Recall Agent,0.8627022299956275,0.8147360242702283,0.9715653401570634,0.8862662239661938,0.2706756756756757,0.02843465984293656,0.9715653401570634,0.7293243243243244,0.7293243243243244,0.8504448322406939,44043,26985,10015,1289,-0.025227129184278385,-0.01702305203088328,0.009573810994441014,-0.06786486486486487
Trust Agent Selector,Clean,None,0.8175314579993198,0.7528320459133452,0.9954116297538163,0.8572921317361857,0.4004054054054054,0.004588370246183711,0.9954116297538163,0.5995945945945946,0.5995945945945946,0.7975031121742054,45124,22185,14815,208,0.0,0.0,0.0,0.0
Trust Agent Selector,Poisoned,Attack Recall Agent,0.7516397026672497,0.6944852596367275,0.9800802964793082,0.8129288419665892,0.5282432432432432,0.019919703520691785,0.9800802964793082,0.47175675675675677,0.47175675675675677,0.7259185266180325,44429,17455,19545,903,0.06589175533207015,0.04436328976959647,0.015331333274508075,0.1278378378378378
Confidence-Margin Trust,Clean,None,0.8749696351357916,0.8460201461584042,0.9448954381011206,0.8927283716471103,0.2107027027027027,0.05510456189887938,0.9448954381011206,0.7892972972972973,0.7892972972972973,0.867096367699209,42834,29204,7796,2498,0.0,0.0,0.0,0.0
Confidence-Margin Trust,Poisoned,Attack Recall Agent,0.8742773162318418,0.8731943585038513,0.9027618459366452,0.8877319710625928,0.16062162162162164,0.0972381540633548,0.9027618459366452,0.8393783783783784,0.8393783783783784,0.8710701121575117,40924,31057,5943,4408,0.000692318903949829,0.004996400584517446,0.042133592164475424,-0.05008108108108106
Local Accuracy Trust,Clean,None,0.8203493173978526,0.7564358763371342,0.99366893143916,0.8589735033037442,0.392,0.006331068560840025,0.99366893143916,0.608,0.608,0.8008344657195801,45045,22496,14504,287,0.0,0.0,0.0,0.0
