Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Majority Vote,Clean,None,0.8382524413350824,0.7819065565398094,0.9794185123091855,0.8695882093717867,0.3347027027027027,0.020581487690814436,0.9794185123091855,0.6652972972972973,0.6652972972972973,0.8223579048032414,44399,24616,12384,933,0.0,0.0,0.0,0.0
Majority Vote,Poisoned,General Traffic Agent,0.8560826895982121,0.8159667830518071,0.9537192270360892,0.879481676617472,0.26354054054054055,0.046280772963910706,0.9537192270360892,0.7364594594594595,0.7364594594594595,0.8450893432477744,43234,27249,9751,2098,-0.017830248263129733,-0.009893467245685295,0.02569928527309627,-0.07116216216216215
Global Trust Voting,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Global Trust Voting,Poisoned,General Traffic Agent,0.841908370985765,0.7845119030849416,0.9828377305214859,0.8725470996044025,0.33075675675675675,0.017162269478514073,0.9828377305214859,0.6692432432432432,0.6692432432432432,0.8260404868823645,44554,24762,12238,778,-0.03352281008599334,-0.02117817872482608,0.013875408100238242,-0.09159459459459462
F1 Trust Voting,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
F1 Trust Voting,Poisoned,General Traffic Agent,0.841908370985765,0.7845119030849416,0.9828377305214859,0.8725470996044025,0.33075675675675675,0.017162269478514073,0.9828377305214859,0.6692432432432432,0.6692432432432432,0.8260404868823645,44554,24762,12238,778,-0.03352281008599334,-0.02117817872482608,0.013875408100238242,-0.09159459459459462
Error-Aware Trust,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Error-Aware Trust,Poisoned,General Traffic Agent,0.841908370985765,0.7845119030849416,0.9828377305214859,0.8725470996044025,0.33075675675675675,0.017162269478514073,0.9828377305214859,0.6692432432432432,0.6692432432432432,0.8260404868823645,44554,24762,12238,778,-0.03352281008599334,-0.02117817872482608,0.013875408100238242,-0.09159459459459462
Attack Recall Trust,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Attack Recall Trust,Poisoned,General Traffic Agent,0.841908370985765,0.7845119030849416,0.9828377305214859,0.8725470996044025,0.33075675675675675,0.017162269478514073,0.9828377305214859,0.6692432432432432,0.6692432432432432,0.8260404868823645,44554,24762,12238,778,-0.03352281008599334,-0.02117817872482608,0.013875408100238242,-0.09159459459459462
FNR Penalty Trust,Clean,None,0.8067215663411553,0.740551766995372,0.9989411453278038,0.8505554981639917,0.4287837837837838,0.001058854672196241,0.9989411453278038,0.5712162162162162,0.5712162162162162,0.78507868077201,45284,21135,15865,48,0.0,0.0,0.0,0.0
FNR Penalty Trust,Poisoned,General Traffic Agent,0.8002963610746733,0.7358752449379491,0.9941101208859084,0.8457193259017378,0.43716216216216214,0.005889879114091591,0.9941101208859084,0.5628378378378378,0.5628378378378378,0.7784739793618731,45065,20825,16175,267,0.006425205266482048,0.004836172262253857,0.00483102444189535,0.008378378378378348
Best Safe Model Selector,Clean,None,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.9981249448513192,0.5747837837837838,0.5747837837837838,0.7864543643175514,45247,21267,15733,85,0.0,0.0,0.0,0.0
Best Safe Model Selector,Poisoned,General Traffic Agent,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.9981249448513192,0.5747837837837838,0.5747837837837838,0.7864543643175514,45247,21267,15733,85,0.0,0.0,0.0,0.0
Best Accuracy Selector,Clean,None,0.8076325122674052,0.7428049262381454,0.9952130945027795,0.8506806954029491,0.4221891891891892,0.004786905497220506,0.9952130945027795,0.5778108108108108,0.5778108108108108,0.7865119526567952,45115,21379,15621,217,0.0,0.0,0.0,0.0
Best Accuracy Selector,Poisoned,General Traffic Agent,0.6227104892386921,0.6454743796260425,0.6983146563134209,0.6708556291390728,0.4699189189189189,0.301685343686579,0.6983146563134209,0.5300810810810811,0.5300810810810811,0.614197868697251,31656,19613,17387,13676,0.18492202302871308,0.1798250662638763,0.2968984381893585,0.04772972972972972
Class-Specific Trust,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
