Dataset,Poison Mode,Poison Rate,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,ROC AUC,PR AUC,Accuracy Recovery,F1 Recovery,FNR Reduction
UNSW-NB15,flip,0.3,Hard-Case Agent,Original Agent,0.9212456881892824,0.9096334725209836,0.9514912203300097,0.9300916442048518,0.11581081081081081,0.048508779669990294,0.9514912203300097,0.8841891891891892,0.8841891891891892,0.9178402047595995,43133,32715,4285,2199,0.9763404989852642,0.9816975590470332,,,
UNSW-NB15,flip,0.3,Hard-Case Agent,Poisoned Agent,0.66653306126415,0.7052704099207716,0.6774684549545575,0.691089933278576,0.34686486486486484,0.3225315450454425,0.6774684549545575,0.6531351351351351,0.6531351351351351,0.6653017950448463,30711,24166,12834,14621,,,,,
UNSW-NB15,flip,0.3,Hard-Case Agent,Majority Vote,0.8210780741388525,0.7685570357888825,0.9659181152386835,0.8560089927178535,0.3563783783783784,0.03408188476131651,0.9659181152386835,0.6436216216216216,0.6436216216216216,0.8047698684301525,43787,23814,13186,1545,,,,,
UNSW-NB15,flip,0.3,Hard-Case Agent,Majority Vote,0.8210780741388525,0.7685570357888825,0.9659181152386835,0.8560089927178535,0.3563783783783784,0.03408188476131651,0.9659181152386835,0.6436216216216216,0.6436216216216216,0.8047698684301525,43787,23814,13186,1545,,,0.0,0.0,0.0
UNSW-NB15,flip,0.3,Hard-Case Agent,Global Trust Voting,0.8078875771267551,0.7425903703581938,0.9965146033706874,0.8510149295907314,0.4232162162162162,0.0034853966293126267,0.9965146033706874,0.5767837837837838,0.5767837837837838,0.7866491935772356,45174,21341,15659,158,,,-0.013190497012097402,-0.004994063127122028,0.03059648813200388
UNSW-NB15,flip,0.3,Hard-Case Agent,F1 Trust Voting,0.8078875771267551,0.7425903703581938,0.9965146033706874,0.8510149295907314,0.4232162162162162,0.0034853966293126267,0.9965146033706874,0.5767837837837838,0.5767837837837838,0.7866491935772356,45174,21341,15659,158,,,-0.013190497012097402,-0.004994063127122028,0.03059648813200388
UNSW-NB15,flip,0.3,Hard-Case Agent,Error-Aware Trust,0.8078875771267551,0.7425903703581938,0.9965146033706874,0.8510149295907314,0.4232162162162162,0.0034853966293126267,0.9965146033706874,0.5767837837837838,0.5767837837837838,0.7866491935772356,45174,21341,15659,158,,,-0.013190497012097402,-0.004994063127122028,0.03059648813200388
UNSW-NB15,flip,0.3,Hard-Case Agent,Attack Recall Trust,0.8078875771267551,0.7425903703581938,0.9965146033706874,0.8510149295907314,0.4232162162162162,0.0034853966293126267,0.9965146033706874,0.5767837837837838,0.5767837837837838,0.7866491935772356,45174,21341,15659,158,,,-0.013190497012097402,-0.004994063127122028,0.03059648813200388
UNSW-NB15,flip,0.3,Hard-Case Agent,FNR Penalty Trust,0.7913569450517417,0.7255568017945841,0.9988970263831289,0.8405635685248093,0.4629189189189189,0.0011029736168710845,0.9988970263831289,0.5370810810810811,0.5370810810810811,0.767989053732105,45282,19872,17128,50,,,-0.029721129087110776,-0.015445424193044177,0.03297891114444543
UNSW-NB15,flip,0.3,Hard-Case Agent,Best Safe Model Selector,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.9981249448513192,0.5747837837837838,0.5747837837837838,0.7864543643175514,45247,21267,15733,85,,,-0.01320264295778073,-0.004797464386150585,0.032206829612635664
