Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Majority Vote,Clean,None,0.8382524413350824,0.7819065565398094,0.9794185123091855,0.8695882093717867,0.3347027027027027,0.020581487690814436,0.9794185123091855,0.6652972972972973,0.6652972972972973,0.8223579048032414,44399,24616,12384,933,0.0,0.0,0.0,0.0
Majority Vote,Poisoned,Hard-Case Agent,0.8210780741388525,0.7685570357888825,0.9659181152386835,0.8560089927178535,0.3563783783783784,0.03408188476131651,0.9659181152386835,0.6436216216216216,0.6436216216216216,0.8047698684301525,43787,23814,13186,1545,0.01717436719622989,0.013579216653933246,0.013500397070502074,0.021675675675675687
Global Trust Voting,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Global Trust Voting,Poisoned,Hard-Case Agent,0.8078875771267551,0.7425903703581938,0.9965146033706874,0.8510149295907314,0.4232162162162162,0.0034853966293126267,0.9965146033706874,0.5767837837837838,0.5767837837837838,0.7866491935772356,45174,21341,15659,158,0.0004979837730165748,0.0003539912888449459,0.0001985352510367952,0.0008648648648648116
F1 Trust Voting,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
F1 Trust Voting,Poisoned,Hard-Case Agent,0.8078875771267551,0.7425903703581938,0.9965146033706874,0.8510149295907314,0.4232162162162162,0.0034853966293126267,0.9965146033706874,0.5767837837837838,0.5767837837837838,0.7866491935772356,45174,21341,15659,158,0.0004979837730165748,0.0003539912888449459,0.0001985352510367952,0.0008648648648648116
Error-Aware Trust,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Error-Aware Trust,Poisoned,Hard-Case Agent,0.8078875771267551,0.7425903703581938,0.9965146033706874,0.8510149295907314,0.4232162162162162,0.0034853966293126267,0.9965146033706874,0.5767837837837838,0.5767837837837838,0.7866491935772356,45174,21341,15659,158,0.0004979837730165748,0.0003539912888449459,0.0001985352510367952,0.0008648648648648116
Attack Recall Trust,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Attack Recall Trust,Poisoned,Hard-Case Agent,0.8078875771267551,0.7425903703581938,0.9965146033706874,0.8510149295907314,0.4232162162162162,0.0034853966293126267,0.9965146033706874,0.5767837837837838,0.5767837837837838,0.7866491935772356,45174,21341,15659,158,0.0004979837730165748,0.0003539912888449459,0.0001985352510367952,0.0008648648648648116
FNR Penalty Trust,Clean,None,0.8067215663411553,0.740551766995372,0.9989411453278038,0.8505554981639917,0.4287837837837838,0.001058854672196241,0.9989411453278038,0.5712162162162162,0.5712162162162162,0.78507868077201,45284,21135,15865,48,0.0,0.0,0.0,0.0
FNR Penalty Trust,Poisoned,Hard-Case Agent,0.7913569450517417,0.7255568017945841,0.9988970263831289,0.8405635685248093,0.4629189189189189,0.0011029736168710845,0.9988970263831289,0.5370810810810811,0.5370810810810811,0.767989053732105,45282,19872,17128,50,0.015364621289413627,0.009991929639182384,4.411894467484345e-05,0.03413513513513511
Best Safe Model Selector,Clean,None,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.9981249448513192,0.5747837837837838,0.5747837837837838,0.7864543643175514,45247,21267,15733,85,0.0,0.0,0.0,0.0
Best Safe Model Selector,Poisoned,Hard-Case Agent,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.9981249448513192,0.5747837837837838,0.5747837837837838,0.7864543643175514,45247,21267,15733,85,0.0,0.0,0.0,0.0
Best Accuracy Selector,Clean,None,0.8076325122674052,0.7428049262381454,0.9952130945027795,0.8506806954029491,0.4221891891891892,0.004786905497220506,0.9952130945027795,0.5778108108108108,0.5778108108108108,0.7865119526567952,45115,21379,15621,217,0.0,0.0,0.0,0.0
Best Accuracy Selector,Poisoned,Hard-Case Agent,0.8076325122674052,0.7428049262381454,0.9952130945027795,0.8506806954029491,0.4221891891891892,0.004786905497220506,0.9952130945027795,0.5778108108108108,0.5778108108108108,0.7865119526567952,45115,21379,15621,217,0.0,0.0,0.0,0.0
Class-Specific Trust,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Class-Specific Trust,Poisoned,Hard-Case Agent,0.8078875771267551,0.7425903703581938,0.9965146033706874,0.8510149295907314,0.4232162162162162,0.0034853966293126267,0.9965146033706874,0.5767837837837838,0.5767837837837838,0.7866491935772356,45174,21341,15659,158,0.0004979837730165748,0.0003539912888449459,0.0001985352510367952,0.0008648648648648116
Dynamic Trust,Clean,None,0.8175436039450031,0.7532502255940644,0.99435277508162,0.8571700230094891,0.3990810810810811,0.005647224918379952,0.99435277508162,0.6009189189189189,0.6009189189189189,0.7976358470002695,45076,22234,14766,256,0.0,0.0,0.0,0.0
Dynamic Trust,Poisoned,Hard-Case Agent,0.8100738473497546,0.7445361266202217,0.9972205064854849,0.852549293251233,0.41921621621621624,0.002779493514515133,0.9972205064854849,0.5807837837837838,0.5807837837837838,0.7890021451346343,45206,21489,15511,126,0.007469756595248511,0.004620729758256115,-0.0028677314038648193,0.02013513513513515
Confidence-Based Trust,Clean,None,0.8730870135548754,0.8319471670821993,0.9642857142857143,0.8932413793103449,0.23864864864864865,0.03571428571428571,0.9642857142857143,0.7613513513513513,0.7613513513513513,0.8628185328185328,43713,28170,8830,1619,0.0,0.0,0.0,0.0
Confidence-Based Trust,Poisoned,Hard-Case Agent,0.8491959383957635,0.8181150456162054,0.9336892261537104,0.8720896690979519,0.25432432432432434,0.0663107738462896,0.9336892261537104,0.7456756756756757,0.7456756756756757,0.8396824509146931,42326,27590,9410,3006,0.02389107515911193,0.021151710212392927,0.030596488132003885,0.015675675675675682
Hybrid Trust,Clean,None,0.873111305446242,0.8318651420308606,0.964484249536751,0.89327925958464,0.23883783783783782,0.03551575046324892,0.964484249536751,0.7611621621621621,0.7611621621621621,0.8628232058494566,43722,28163,8837,1610,0.0,0.0,0.0,0.0
Hybrid Trust,Poisoned,Hard-Case Agent,0.8491837924500801,0.8180131784893045,0.9338436424600723,0.8720991316708383,0.25454054054054054,0.06615635753992764,0.9338436424600723,0.7454594594594595,0.7454594594594595,0.839651550959766,42333,27582,9418,2999,0.023927512996161915,0.02118012791380175,0.030640607076678726,0.015702702702702714
Attack Override Trust,Clean,None,0.7543968323373658,0.6919126301147914,0.9985661342980676,0.8174258498487653,0.5447567567567567,0.0014338657019324099,0.9985661342980676,0.4552432432432432,0.4552432432432432,0.7269046887706554,45267,16844,20156,65,0.0,0.0,0.0,0.0
Attack Override Trust,Poisoned,Hard-Case Agent,0.7544332701744157,0.691897426493062,0.998742610076767,0.8174743608262314,0.5448918918918919,0.0012573899232330363,0.998742610076767,0.4551081081081081,0.4551081081081081,0.7269253590924376,45275,16839,20161,57,-3.6437837049985156e-05,-4.851097746605415e-05,-0.00017647577869937358,0.00013513513513518927
Role-Aware Trust Voting,Clean,None,0.8374751008113491,0.7802571794466958,0.9811391511515044,0.8692431719353105,0.33854054054054056,0.018860848848495544,0.9811391511515044,0.6614594594594595,0.6614594594594595,0.821299305305482,44477,24474,12526,855,0.0,0.0,0.0,0.0
Role-Aware Trust Voting,Poisoned,Hard-Case Agent,0.8049361123257057,0.7503849180552229,0.9675946351363275,0.8452585127088432,0.39435135135135135,0.03240536486367246,0.9675946351363275,0.6056486486486486,0.6056486486486486,0.7866216418924881,43863,22409,14591,1469,0.032538988485643405,0.02398465922646731,0.013544516015176915,0.055810810810810796
Trust Agent Selector,Clean,None,0.8175314579993198,0.7528320459133452,0.9954116297538163,0.8572921317361857,0.4004054054054054,0.004588370246183711,0.9954116297538163,0.5995945945945946,0.5995945945945946,0.7975031121742054,45124,22185,14815,208,0.0,0.0,0.0,0.0
Trust Agent Selector,Poisoned,Hard-Case Agent,0.7322061895739203,0.6823964404336654,0.9608223771287391,0.7980212532063027,0.5478918918918919,0.03917762287126092,0.9608223771287391,0.4521081081081081,0.4521081081081081,0.7064652426184236,43556,16728,20272,1776,0.08532526842539956,0.059270878529883,0.034589252625077206,0.1474864864864865
Confidence-Margin Trust,Clean,None,0.8749696351357916,0.8460201461584042,0.9448954381011206,0.8927283716471103,0.2107027027027027,0.05510456189887938,0.9448954381011206,0.7892972972972973,0.7892972972972973,0.867096367699209,42834,29204,7796,2498,0.0,0.0,0.0,0.0
Confidence-Margin Trust,Poisoned,Hard-Case Agent,0.8407059223631151,0.8272289597172283,0.898305832524486,0.8613035247834685,0.22986486486486488,0.10169416747551399,0.898305832524486,0.7701351351351351,0.7701351351351351,0.8342204838298106,40722,28495,8505,4610,0.03426371277267648,0.031424846863641775,0.046589605576634614,0.019162162162162183
Local Accuracy Trust,Clean,None,0.8203493173978526,0.7564358763371342,0.99366893143916,0.8589735033037442,0.392,0.006331068560840025,0.99366893143916,0.608,0.608,0.8008344657195801,45045,22496,14504,287,0.0,0.0,0.0,0.0
Local Accuracy Trust,Poisoned,Hard-Case Agent,0.8163897391050867,0.752486003175399,0.9932277419924116,0.8562571909439273,0.4002702702702703,0.006772258007588458,0.9932277419924116,0.5997297297297297,0.5997297297297297,0.7964787358610707,45025,22190,14810,307,0.003959578292765831,0.0027163123598169525,0.0004411894467484332,0.008270270270270275
AI Trust Auditor,Clean,None,0.8175436039450031,0.7532502255940644,0.99435277508162,0.8571700230094891,0.3990810810810811,0.005647224918379952,0.99435277508162,0.6009189189189189,0.6009189189189189,0.7976358470002695,45076,22234,14766,256,0.0,0.0,0.0,0.0
AI Trust Auditor,Poisoned,Hard-Case Agent,0.8100738473497546,0.7445361266202217,0.9972205064854849,0.852549293251233,0.41921621621621624,0.002779493514515133,0.9972205064854849,0.5807837837837838,0.5807837837837838,0.7890021451346343,45206,21489,15511,126,0.007469756595248511,0.004620729758256115,-0.0028677314038648193,0.02013513513513515
