Dataset,Poison Mode,Poison Rate,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,ROC AUC,PR AUC,Accuracy Recovery,F1 Recovery,FNR Reduction
UNSW-NB15,flip,0.3,Normal Behavior Agent,Original Agent,0.7614779186707477,0.7208223039636976,0.9250860319421159,0.8102792000772873,0.438972972972973,0.07491396805788406,0.9250860319421159,0.561027027027027,0.561027027027027,0.7430565294845715,41936,20758,16242,3396,0.8108806361951821,0.7985707570926253,,,
UNSW-NB15,flip,0.3,Normal Behavior Agent,Poisoned Agent,0.6045158626050624,0.6334287565037507,0.6687108444366011,0.650591808046014,0.4741351351351351,0.33128915556339894,0.6687108444366011,0.5258648648648648,0.5258648648648648,0.597287854650733,30314,19457,17543,15018,,,,,
UNSW-NB15,flip,0.3,Normal Behavior Agent,Majority Vote,0.8541879220716125,0.8023844520659807,0.9754036883437748,0.8804747159967742,0.2943243243243243,0.024596311656225184,0.9754036883437748,0.7056756756756757,0.7056756756756757,0.8405396820097253,44217,26110,10890,1115,,,,,
UNSW-NB15,flip,0.3,Normal Behavior Agent,Majority Vote,0.8541879220716125,0.8023844520659807,0.9754036883437748,0.8804747159967742,0.2943243243243243,0.024596311656225184,0.9754036883437748,0.7056756756756757,0.7056756756756757,0.8405396820097253,44217,26110,10890,1115,,,0.0,0.0,0.0
UNSW-NB15,flip,0.3,Normal Behavior Agent,Global Trust Voting,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,,,-0.04580236117184089,-0.029105795117197797,0.02130945027794935
UNSW-NB15,flip,0.3,Normal Behavior Agent,F1 Trust Voting,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,,,-0.04580236117184089,-0.029105795117197797,0.02130945027794935
UNSW-NB15,flip,0.3,Normal Behavior Agent,Error-Aware Trust,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,,,-0.04580236117184089,-0.029105795117197797,0.02130945027794935
UNSW-NB15,flip,0.3,Normal Behavior Agent,Attack Recall Trust,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,,,-0.04580236117184089,-0.029105795117197797,0.02130945027794935
UNSW-NB15,flip,0.3,Normal Behavior Agent,FNR Penalty Trust,0.807073798765972,0.7410609037328094,0.9984999558810553,0.8507311205503139,0.42745945945945946,0.001500044118944675,0.9984999558810553,0.5725405405405405,0.5725405405405405,0.7855202482107979,45264,21184,15816,68,,,-0.047114123305640576,-0.029743595446460325,0.02309626753728051
UNSW-NB15,flip,0.3,Normal Behavior Agent,Best Safe Model Selector,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.9981249448513192,0.5747837837837838,0.5747837837837838,0.7864543643175514,45247,21267,15733,85,,,-0.04631249089054079,-0.0292631876650713,0.022721256507544342
