Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Majority Vote,Clean,None,0.8382524413350824,0.7819065565398094,0.9794185123091855,0.8695882093717867,0.3347027027027027,0.020581487690814436,0.9794185123091855,0.6652972972972973,0.6652972972972973,0.8223579048032414,44399,24616,12384,933,0.0,0.0,0.0,0.0
Majority Vote,Poisoned,Normal Behavior Agent,0.8541879220716125,0.8023844520659807,0.9754036883437748,0.8804747159967742,0.2943243243243243,0.024596311656225184,0.9754036883437748,0.7056756756756757,0.7056756756756757,0.8405396820097253,44217,26110,10890,1115,-0.015935480736530172,-0.010886506624987469,0.004014823965410749,-0.04037837837837838
Global Trust Voting,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Global Trust Voting,Poisoned,Normal Behavior Agent,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
F1 Trust Voting,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
F1 Trust Voting,Poisoned,Normal Behavior Agent,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Error-Aware Trust,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Error-Aware Trust,Poisoned,Normal Behavior Agent,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Attack Recall Trust,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Attack Recall Trust,Poisoned,Normal Behavior Agent,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
FNR Penalty Trust,Clean,None,0.8067215663411553,0.740551766995372,0.9989411453278038,0.8505554981639917,0.4287837837837838,0.001058854672196241,0.9989411453278038,0.5712162162162162,0.5712162162162162,0.78507868077201,45284,21135,15865,48,0.0,0.0,0.0,0.0
FNR Penalty Trust,Poisoned,Normal Behavior Agent,0.807073798765972,0.7410609037328094,0.9984999558810553,0.8507311205503139,0.42745945945945946,0.001500044118944675,0.9984999558810553,0.5725405405405405,0.5725405405405405,0.7855202482107979,45264,21184,15816,68,-0.0003522324248166342,-0.00017562238632218286,0.00044118944674843385,-0.001324324324324333
Best Safe Model Selector,Clean,None,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.9981249448513192,0.5747837837837838,0.5747837837837838,0.7864543643175514,45247,21267,15733,85,0.0,0.0,0.0,0.0
Best Safe Model Selector,Poisoned,Normal Behavior Agent,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.9981249448513192,0.5747837837837838,0.5747837837837838,0.7864543643175514,45247,21267,15733,85,0.0,0.0,0.0,0.0
Best Accuracy Selector,Clean,None,0.8076325122674052,0.7428049262381454,0.9952130945027795,0.8506806954029491,0.4221891891891892,0.004786905497220506,0.9952130945027795,0.5778108108108108,0.5778108108108108,0.7865119526567952,45115,21379,15621,217,0.0,0.0,0.0,0.0
Best Accuracy Selector,Poisoned,Normal Behavior Agent,0.8076325122674052,0.7428049262381454,0.9952130945027795,0.8506806954029491,0.4221891891891892,0.004786905497220506,0.9952130945027795,0.5778108108108108,0.5778108108108108,0.7865119526567952,45115,21379,15621,217,0.0,0.0,0.0,0.0
Class-Specific Trust,Clean,None,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Class-Specific Trust,Poisoned,Normal Behavior Agent,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758315,0.9967131386217242,0.5776486486486486,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,0.0,0.0,0.0,0.0
Dynamic Trust,Clean,None,0.8175436039450031,0.7532502255940644,0.99435277508162,0.8571700230094891,0.3990810810810811,0.005647224918379952,0.99435277508162,0.6009189189189189,0.6009189189189189,0.7976358470002695,45076,22234,14766,256,0.0,0.0,0.0,0.0
