sample_index,true_label,hard_case_prediction,general_prediction,attack_recall_prediction,normal_behavior_prediction,which_agents_correct,number_of_correct_non_hardcase_agents,hard_case_confidence,hard_case_margin,general_confidence,general_margin,attack_recall_confidence,attack_recall_margin,normal_behavior_confidence,normal_behavior_margin,selector_prediction,selector_overrode_hard_case,selector_correct_after_override
18,0,1,0,0,1,"general_prediction,attack_recall_prediction",2,0.6912100374505612,0.3824200749011224,0.17780551338820935,0.6443889732235812,0.05408035262286165,0.8918392947542767,0.7263766511620389,0.45275330232407773,1,False,False
19,0,1,0,0,1,"general_prediction,attack_recall_prediction",2,0.6759430837440233,0.3518861674880467,0.42903123264418735,0.1419375347116253,0.17003911096935548,0.659921778061289,0.7269957178516936,0.4539914357033872,1,False,False
27,0,1,0,0,1,"general_prediction,attack_recall_prediction",2,0.8320898049381104,0.6641796098762207,0.14959797952154558,0.7008040409569088,0.04603710999033418,0.9079257800193317,0.7264505775129139,0.45290115502582773,1,False,False
91,0,1,0,0,1,"general_prediction,attack_recall_prediction",2,0.5318569246505889,0.06371384930117774,3.1240664211848007e-12,0.9999999999937519,0.020000000006170447,0.9599999999876591,0.9998104052286388,0.9996208104572777,0,True,True
93,0,1,0,0,1,"general_prediction,attack_recall_prediction",2,0.5318569246505889,0.06371384930117774,3.1240664211848007e-12,0.9999999999937519,0.020000000006170447,0.9599999999876591,0.9998104052286388,0.9996208104572777,0,True,True
94,0,1,0,0,1,"general_prediction,attack_recall_prediction",2,0.5318569246505889,0.06371384930117774,3.1240664211848007e-12,0.9999999999937519,0.020000000006170447,0.9599999999876591,0.9998104052286388,0.9996208104572777,0,True,True
101,0,1,1,1,0,normal_behavior_prediction,1,0.7817829213728977,0.5635658427457955,0.7777572003642774,0.5555144007285548,0.6567194274417313,0.31343885488346257,0.3313896875415575,0.337220624916885,1,False,False
134,0,1,1,1,0,normal_behavior_prediction,1,0.6699265087388133,0.33985301747762664,0.7791292065964012,0.5582584131928023,0.6586849586857674,0.31736991737153475,0.3850680274016145,0.229863945196771,1,False,False
178,0,1,1,1,0,normal_behavior_prediction,1,0.7942762243723288,0.5885524487446576,0.7742511320929611,0.5485022641859223,0.6554428579689449,0.3108857159378897,0.3598813877313585,0.28023722453728295,1,False,False
215,0,1,1,1,0,normal_behavior_prediction,1,0.5766849394658609,0.15336987893172171,0.773238565365538,0.5464771307310761,0.6542258596989539,0.3084517193979077,0.33864112003865926,0.3227177599226815,1,False,False
221,0,1,0,0,1,"general_prediction,attack_recall_prediction",2,0.7101980196737533,0.4203960393475066,0.011504501381573762,0.9769909972368525,0.05709212590937371,0.8858157481812525,0.7270797211492218,0.4541594422984436,1,False,False
224,0,1,0,0,1,"general_prediction,attack_recall_prediction",2,0.7101980196737533,0.4203960393475066,0.011504501381573762,0.9769909972368525,0.05709212590937371,0.8858157481812525,0.7270797211492218,0.4541594422984436,1,False,False
254,1,0,1,1,1,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.4542624289816537,0.0914751420366926,0.8533759601008151,0.7067519202016301,0.7018956058092773,0.4037912116185547,0.7335535861671567,0.4671071723343134,1,True,True
277,1,0,1,1,0,"general_prediction,attack_recall_prediction",2,0.3780895622670334,0.24382087546593323,0.7747003552612582,0.5494007105225165,0.6561192919956707,0.3122385839913413,0.28545143396328393,0.42909713207343214,1,True,True
281,1,0,1,1,1,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.38515850634373167,0.22968298731253667,0.7857371526810278,0.5714743053620557,0.6722723417403133,0.3445446834806265,0.600691206803441,0.20138241360688203,1,True,True
282,1,0,1,1,0,"general_prediction,attack_recall_prediction",2,0.337533476656148,0.32493304668770395,0.7746648735227322,0.5493297470454643,0.6561139269616513,0.31222785392330255,0.39476913677219444,0.21046172645561112,0,False,False
283,1,0,1,1,1,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.41454245115221755,0.1709150976955649,0.7802338135972198,0.5604676271944395,0.6594453243276331,0.3188906486552663,0.5585680573794031,0.11713611475880614,1,True,True
284,1,0,1,1,0,"general_prediction,attack_recall_prediction",2,0.41767250080826523,0.16465499838346953,0.7748873360025401,0.5497746720050802,0.6571112318809031,0.3142224637618063,0.34838816284773205,0.3032236743045359,1,True,True
288,1,0,1,1,0,"general_prediction,attack_recall_prediction",2,0.37616431060704797,0.24767137878590406,0.7759533043314827,0.5519066086629654,0.6579534288873904,0.3159068577747808,0.3601821049495643,0.27963579010087136,1,True,True
290,1,0,1,1,0,"general_prediction,attack_recall_prediction",2,0.374133781774775,0.25173243645044996,0.7816580566914255,0.563316113382851,0.6619505172047387,0.3239010344094775,0.3837689767601316,0.23246204647973678,1,True,True
291,1,0,1,1,1,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.36830084428647,0.26339831142706005,0.7812317532442764,0.5624635064885528,0.66092342648935,0.32184685297869997,0.42165363610865175,0.1566927277826965,0,False,False
292,1,0,1,1,1,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.3562341589816833,0.2875316820366334,0.7766681439720966,0.5533362879441932,0.6590076606471804,0.31801532129436083,0.40302247311390854,0.19395505377218292,1,True,True
294,1,0,1,1,0,"general_prediction,attack_recall_prediction",2,0.35224105482116735,0.2955178903576653,0.7800405969048654,0.5600811938097308,0.6589737222641364,0.31794744452827284,0.37864492143506706,0.24271015712986588,1,True,True
295,1,0,1,1,1,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.42510786102695136,0.14978427794609728,0.856815843275893,0.713631686551786,0.7039085345499441,0.40781706909988813,0.7111716311186574,0.4223432622373149,1,True,True
302,1,0,1,1,1,"general_prediction,attack_recall_prediction,normal_behavior_prediction",3,0.4615300151403684,0.0769399697192632,0.852100850285408,0.7042017005708161,0.6992639796972451,0.39852795939449015,0.7270094652800922,0.4540189305601845,1,True,True
307,1,0,1,1,0,"general_prediction,attack_recall_prediction",2,0.425196302201055,0.14960739559789005,0.7767137104661782,0.5534274209323564,0.6591532425149977,0.3183064850299955,0.38136314385426995,0.2372737122914601,1,True,True
