Dataset,Poison Mode,Poison Rate,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,ROC AUC,PR AUC,Accuracy Recovery,F1 Recovery,FNR Reduction
UNSW-NB15,flip,0.3,General Traffic Agent,Original Agent,0.8076325122674052,0.7428049262381454,0.9952130945027795,0.8506806954029491,0.4221891891891892,0.004786905497220506,0.9952130945027795,0.5778108108108108,0.5778108108108108,0.7865119526567952,45115,21379,15621,217,0.9163627871010513,0.9226075547613961,,,
UNSW-NB15,flip,0.3,General Traffic Agent,Poisoned Agent,0.6227104892386921,0.6454743796260425,0.6983146563134209,0.6708556291390728,0.4699189189189189,0.301685343686579,0.6983146563134209,0.5300810810810811,0.5300810810810811,0.614197868697251,31656,19613,17387,13676,,,,,
UNSW-NB15,flip,0.3,General Traffic Agent,Majority Vote,0.8560826895982121,0.8159667830518071,0.9537192270360892,0.879481676617472,0.26354054054054055,0.046280772963910706,0.9537192270360892,0.7364594594594595,0.7364594594594595,0.8450893432477744,43234,27249,9751,2098,,,,,
UNSW-NB15,flip,0.3,General Traffic Agent,Majority Vote,0.8560826895982121,0.8159667830518071,0.9537192270360892,0.879481676617472,0.26354054054054055,0.046280772963910706,0.9537192270360892,0.7364594594594595,0.7364594594594595,0.8450893432477744,43234,27249,9751,2098,,,0.0,0.0,0.0
UNSW-NB15,flip,0.3,General Traffic Agent,Global Trust Voting,0.841908370985765,0.7845119030849416,0.9828377305214859,0.8725470996044025,0.33075675675675675,0.017162269478514073,0.9828377305214859,0.6692432432432432,0.6692432432432432,0.8260404868823645,44554,24762,12238,778,,,-0.014174318612447112,-0.006934577013069543,0.029118503485396633
UNSW-NB15,flip,0.3,General Traffic Agent,F1 Trust Voting,0.841908370985765,0.7845119030849416,0.9828377305214859,0.8725470996044025,0.33075675675675675,0.017162269478514073,0.9828377305214859,0.6692432432432432,0.6692432432432432,0.8260404868823645,44554,24762,12238,778,,,-0.014174318612447112,-0.006934577013069543,0.029118503485396633
UNSW-NB15,flip,0.3,General Traffic Agent,Error-Aware Trust,0.841908370985765,0.7845119030849416,0.9828377305214859,0.8725470996044025,0.33075675675675675,0.017162269478514073,0.9828377305214859,0.6692432432432432,0.6692432432432432,0.8260404868823645,44554,24762,12238,778,,,-0.014174318612447112,-0.006934577013069543,0.029118503485396633
UNSW-NB15,flip,0.3,General Traffic Agent,Attack Recall Trust,0.841908370985765,0.7845119030849416,0.9828377305214859,0.8725470996044025,0.33075675675675675,0.017162269478514073,0.9828377305214859,0.6692432432432432,0.6692432432432432,0.8260404868823645,44554,24762,12238,778,,,-0.014174318612447112,-0.006934577013069543,0.029118503485396633
UNSW-NB15,flip,0.3,General Traffic Agent,FNR Penalty Trust,0.8002963610746733,0.7358752449379491,0.9941101208859084,0.8457193259017378,0.43716216216216214,0.005889879114091591,0.9941101208859084,0.5628378378378378,0.5628378378378378,0.7784739793618731,45065,20825,16175,267,,,-0.05578632852353882,-0.03376235071573419,0.040390893849819115
UNSW-NB15,flip,0.3,General Traffic Agent,Best Safe Model Selector,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.9981249448513192,0.5747837837837838,0.5747837837837838,0.7864543643175514,45247,21267,15733,85,,,-0.04820725841714035,-0.028270148285769126,0.04440571781522986
UNSW-NB15,flip,0.3,General Traffic Agent,Best Accuracy Selector,0.6227104892386921,0.6454743796260425,0.6983146563134209,0.6708556291390728,0.4699189189189189,0.301685343686579,0.6983146563134209,0.5300810810810811,0.5300810810810811,0.614197868697251,31656,19613,17387,13676,,,-0.23337220035952,-0.2086260474783992,-0.2554045707226683
UNSW-NB15,flip,0.3,General Traffic Agent,Class-Specific Trust,0.841908370985765,0.7845119030849416,0.9828377305214859,0.8725470996044025,0.33075675675675675,0.017162269478514073,0.9828377305214859,0.6692432432432432,0.6692432432432432,0.8260404868823645,44554,24762,12238,778,,,-0.014174318612447112,-0.006934577013069543,0.029118503485396633
UNSW-NB15,flip,0.3,General Traffic Agent,Dynamic Trust,0.8484550357090803,0.7926635905292976,0.9814921027089032,0.8770290647822359,0.31454054054054054,0.0185078972910968,0.9814921027089032,0.6854594594594594,0.6854594594594594,0.8334757810841813,44493,25362,11638,839,,,-0.00762765388913178,-0.0024526118352361514,0.027772875672813908
